index	version	enabled	ladder	rarity	nolimit	Level	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	End
Icicle Works	100	1		10	1	99	20	mqv	ammo			100	75000	whit							freeze		6	12	dmg-cold	200	500	500	pierce		30	50	sock	3																																			0
Furnace Tongs	100	1		10	1	99	20	mqv	ammo			100	75000	whit							explosivearrow		1	1	dmg-fire		500	500	pierce		30	50	sock	3																																			0
Bramble Thorns	100	1		10	1	99	20	mqv	ammo			100	75000	whit							slow		50	50	dmg-pois	100	1000	1000	pierce		30	50	sock	3																																			0
Hammer Sparks	100	1		10	1	99	20	mqv	ammo			100	75000	whit							ignore-ac		50	50	dmg-ltng		500	500	pierce		30	50	sock	3																																			0
Sudden Impact	100	1		10	1	99	23	mqv	ammo			100	87500	whit							knock		1	1	dmg-norm		1000	1000	pierce		30	50	sock	3																																			0
Bee Sting	100	1		10	1	99	6	mqv	ammo			100	25000	whit							dmg-norm		100	100	pierce		20	40	sock	3																																							0
Wasp Bite	100	1		10	1	99	8	mqv	ammo			100	31000	whit							dmg-pois	100	300	300	pierce		30	50	sock	3																																							0
Hornet Klaw	100	1		10	1	99	10	mqv	ammo			100	37500	whit							dmg-fire		500	500	pierce		40	60	sock	3																																							0
Slayer's BNails	100	1		1	1	99	79	bqv	ammo			100	118500	whit							ignore-ac		1	1	dmg-norm		10000	10000	explosivearrow		1	1	pierce		75	99	oskill	26	1	5	knock		1	1	swing3		50	80	sock	3																			0
Death BMark	100	1		5	1	99	66	bqv	ammo			100	100000	whit							ignore-ac		1	1	dmg-norm		5000	5000	pierce		50	85	knock		1	1	oskill	22	1	5	swing3		40	60	sock	3																							0
Magnum BForce	100	1		5	1	99	62	bqv	ammo			100	93500	whit							ignore-ac		1	1	dmg-norm		2000	2000	pierce		40	75	swing3		30	50	oskill	12	1	5	sock	3																											0
Icicle BWorks	100	1		10	1	99	50	bqv	ammo			100	75000	whit							freeze		6	12	dmg-cold	200	500	500	pierce		30	50	sock	3																																			0
Furnace BTongs	100	1		10	1	99	50	bqv	ammo			100	75000	whit							explosivearrow		1	1	dmg-fire		500	500	pierce		30	50	sock	3																																			0
Bramble BThorns	100	1		10	1	99	50	bqv	ammo			100	75000	whit							slow		50	50	dmg-pois	100	1000	1000	pierce		30	50	sock	3																																			0
Hammer BSparks	100	1		10	1	99	50	bqv	ammo			100	75000	whit							ignore-ac		50	50	dmg-ltng		500	500	pierce		30	50	sock	3																																			0
Sudden BImpact	100	1		10	1	99	58	bqv	ammo			100	87500	whit							knock		1	1	dmg-norm		1000	1000	pierce		30	50	sock	3																																			0
Bee BSting	100	1		10	1	99	16	bqv	ammo			100	25000	whit							dmg-norm		100	100	pierce		20	40	sock	3																																							0
Wasp BBite	100	1		10	1	99	25	bqv	ammo			100	37500	whit							dmg-pois	100	300	300	pierce		30	50	sock	3																																							0
Hornet BKlaw	100	1		10	1	99	33	bqv	ammo			100	50000	whit							dmg-fire		500	500	pierce		40	60	sock	3																																							0
Puppy Drool	100	1		10	1	99	3	rin	ring			100	5000	whit							hp		25	25	mana		10	10	move1		5	5	charged	227	40	1																																	0
Puppy Wag	100	1		10	1	99	5	rin	ring			100	7500	whit							hp		50	50	mana		20	20	move1		10	10	charged	227	40	3																																	0
Puppy Farm	100	1		10	1	99	6	rin	ring			100	10000	whit							hp		75	75	mana		30	30	move1		15	15	charged	227	40	5																																	0
Dogpound	100	1		10	1	99	10	rin	ring			100	15000	whit							hp		100	100	mana		40	40	move2		20	20	charged	227	40	8																																	0
Lone Wolf	100	1		10	1	99	6	rin	ring			100	10000	whit							hp		50	50	mana		20	20	move2		25	25	charged	237	40	1																																	0
Timberwolf	100	1		10	1	99	10	rin	ring			100	15000	whit							hp		100	100	mana		40	40	move3		30	30	charged	227	40	3																																	0
Wolfpack	100	1		5	1	99	13	rin	ring			100	20000	whit							hp		150	150	mana		60	60	move3		35	35	charged	227	40	5																																	0
Lupine Rage	100	1		3	1	99	16	rin	ring			100	25000	whit							hp		200	200	mana		80	80	move3		40	40	charged	227	40	8																																	0
Cub Scout	100	1		10	1	99	3	rin	ring			100	5000	whit							hp		75	75	mana		20	20	ac		25	25	charged	247	25	1																																	0
Bear Cub	100	1		10	1	99	6	rin	ring			100	10000	whit							hp		150	150	mana		40	40	ac		50	50	charged	247	25	3																																	0
Gentle Ben	100	1		10	1	99	10	rin	ring			100	15000	whit							hp		225	225	mana		60	60	ac		75	75	charged	247	25	5																																	0
Kodiak	100	1		10	1	99	13	rin	ring			100	20000	whit							hp		300	300	mana		80	80	ac		100	100	charged	247	25	8																																	0
Blackbird	100	1		10	1	99	3	rin	ring			100	5000	whit							hp		30	30	regen		2	2	regen-mana		10	10	oskill	221	1	4																																	0
Eye Pecker	100	1		10	1	99	6	rin	ring			100	10000	whit							hp		60	60	regen		4	4	regen-mana		20	20	oskill	221	1	8																																	0
The Birds	100	1		10	1	99	10	rin	ring			100	15000	whit							hp		90	90	regen		6	6	regen-mana		30	30	oskill	221	1	12																																	0
Ashes to Ashes	100	1		10	1	99	3	amu	amulet			100	5000	whit							allskills		1	1	red-dmg%		5	5	charged	75	12	10																																					0
Dust to Dust	100	1		10	1	99	5	amu	amulet			100	7500	whit							allskills		1	1	red-dmg%		5	5	charged	75	12	15																																					0
From the Clay	100	1		10	1	99	6	amu	amulet			100	10000	whit							allskills		2	2	red-dmg%		10	10	charged	75	12	20																																					0
To the Quarry	100	1		10	1	99	8	amu	amulet			100	12500	whit							allskills		2	2	red-dmg%		10	10	charged	75	12	25																																					0
Forged by Fire	100	1		5	1	99	10	amu	amulet			100	15000	whit							allskills		3	3	red-dmg%		15	15	charged	90	12	15																																					0
Hammered by Force	100	1		5	1	99	13	amu	amulet			100	20000	whit							allskills		3	3	red-dmg%		15	15	charged	90	12	20																																					0
Shaped by Desire	100	1		5	1	99	16	amu	amulet			100	25000	whit							allskills		4	4	red-dmg%		20	20	charged	90	12	25																																					0
Governed by Thought	100	1		3	1	99	20	amu	amulet			100	30000	whit							allskills		4	4	red-dmg%		20	20	charged	94	12	20																																					0
Act by Will	100	1		3	1	99	23	amu	amulet			100	35000	whit							allskills		5	5	red-dmg%		25	25	charged	94	12	25																																					0
Thriller	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		2	2	manasteal		2	2	oskill	70	1	10																																					0
Dawn of the Dead	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		2	2	manasteal		2	2	oskill	70	5	15																																					0
Ghost Story	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		4	4	manasteal		4	4	oskill	70	10	20																																					0
Army of the Damned	100	1		5	1	99	16	rin	ring			100	25000	whit							lifesteal		4	4	manasteal		4	4	oskill	70	15	25																																					0
Lost Boys	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		6	6	manasteal		6	6	oskill	80	1	10																																					0
Frankenstein	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		8	8	manasteal		8	8	oskill	80	5	15																																					0
Mummy	100	1		10	1	99	16	rin	ring			100	25000	whit							lifesteal		8	8	manasteal		8	8	oskill	80	10	20																																					0
Dracula	100	1		2	1	99	30	rin	ring			100	45000	whit							lifesteal		10	10	manasteal		10	10	oskill	80	15	25																																					0
The Awakening	100	1		2	1	99	33	rin	ring			100	50000	whit							lifesteal		12	12	manasteal		12	12	charged	95	80	30																																					0
Painter	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	regen		2	2	hit-skill	8	5	10	oskill	8	1	10																																	0
Slow Motion	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	regen		3	3	hit-skill	17	5	10	oskill	17	1	10																																	0
Flame Tongue	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	res-fire		10	20	hit-skill	36	5	10	oskill	36	1	15																																	0
Electric Buzz	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	res-ltng		10	20	hit-skill	38	5	10	oskill	38	1	15																																	0
Icepick	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	res-cold		10	20	hit-skill	39	5	10	oskill	39	1	15																																	0
Popsicle	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	res-cold		20	30	gethit-skill	40	5	20	oskill	40	1	15																																	0
Zzzap	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	res-ltng		20	30	gethit-skill	42	5	20	oskill	42	1	15																																	0
Fffreeze	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	res-cold		30	40	hit-skill	44	5	10	oskill	44	1	15																																	0
Chill Out	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	res-cold		40	50	hit-skill	45	5	10	oskill	45	1	15																																	0
Trail Blazing	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	res-fire		20	30	gethit-skill	46	5	20	oskill	46	1	15																																	0
Great Balls of Fire	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	res-fire		30	40	hit-skill	47	5	10	oskill	47	1	15																																	0
Super Nova	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	res-ltng		30	40	gethit-skill	48	5	20	oskill	48	1	15																																	0
Shocking	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	res-ltng		40	50	hit-skill	49	5	10	oskill	49	1	15																																	0
Pillar of Fire	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	res-fire		40	50	hit-skill	51	5	10	oskill	51	1	15																																	0
Chain of Light	100	1		5	1	99	23	rin	ring			100	35000	whit							light		3	5	res-ltng		50	60	hit-skill	53	5	10	oskill	53	1	15																																	0
Deep Freeze	100	1		5	1	99	23	rin	ring			100	35000	whit							light		3	5	res-cold		50	60	hit-skill	55	5	10	oskill	55	1	15																																	0
Blaze of Glory	100	1		5	1	99	23	rin	ring			100	35000	whit							light		3	5	res-fire		50	60	hit-skill	56	5	10	oskill	56	1	15																																	0
Cold Shoulder	100	1		3	1	99	26	rin	ring			100	40000	whit							light		3	5	res-cold		60	70	hit-skill	59	5	10	oskill	59	1	15																																	0
Icebreaker	100	1		3	1	99	26	rin	ring			100	40000	whit							light		3	5	res-cold		60	70	gethit-skill	60	5	20	oskill	60	1	20																																	0
Trinity of Fire	100	1		3	1	99	26	rin	ring			100	40000	whit							light		3	5	res-fire		60	70	gethit-skill	62	5	20	oskill	62	1	20																																	0
Snowglobe	100	1		2	1	99	30	rin	ring			100	45000	whit							light		3	5	res-cold		70	80	gethit-skill	64	5	20	oskill	64	1	20																																	0
Feel the Pain	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	red-mag		4	8	hit-skill	66	5	10	oskill	66	1	20																																	0
Bonespur	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	thorns		100	200	gethit-skill	68	5	20	oskill	68	1	20																																	0
Three Blind Mice	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	slow		20	40	hit-skill	71	5	10	oskill	71	1	20																																	0
Withering Heights	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	dmg%		10	30	hit-skill	72	5	10	oskill	72	1	20																																	0
Undertaker	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	dmg-norm		50	200	hit-skill	74	5	10	oskill	74	1	20																																	0
Suicidal Tendancies	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	light-thorns		250	500	hit-skill	76	5	10	oskill	76	1	20																																	0
Run Away	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	dmg-pois	100	300	300	hit-skill	77	5	10	oskill	77	1	20																																	0
Wall of Spikes	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	thorns		250	500	hit-skill	78	5	10	oskill	78	1	20																																	0
Land of Confusion	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	stupidity		1	1	hit-skill	81	5	10	oskill	81	1	20																																	0
Rotterdam	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	slow		30	50	hit-skill	87	5	10	oskill	87	1	20																																	0
Fade Away	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	ignore-ac		1	1	hit-skill	91	5	10	oskill	91	1	20																																	0
Passing Gas	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	move2		20	30	gethit-skill	83	5	20	oskill	83	1	20																																	0
Cut Loose	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	move3		30	50	gethit-skill	92	5	20	oskill	92	1	20																																	0
Spirits Within	100	1		5	1	99	23	rin	ring			100	35000	whit							light		3	5	ac%		30	40	gethit-skill	93	5	20	oskill	93	1	20																																	0
Marbles	100	1		10	1	99	10	rin	ring			100	15000	whit							light		3	5	att		200	400	hit-skill	229	5	10	oskill	229	1	20																																	0
Shattered Earth	100	1		10	1	99	13	rin	ring			100	20000	whit							light		3	5	regen		5	8	gethit-skill	234	5	20	oskill	234	1	20																																	0
Whirlwind	100	1		10	1	99	16	rin	ring			100	25000	whit							light		3	5	regen-mana		20	40	hit-skill	240	5	10	oskill	240	1	20																																	0
Fire Lake	100	1		10	1	99	20	rin	ring			100	30000	whit							light		3	5	dmg-fire		30	120	hit-skill	244	5	10	oskill	244	1	20																																	0
Maelstrom	100	1		5	1	99	23	rin	ring			100	35000	whit							light		3	5	dmg%		50	100	hit-skill	245	5	10	oskill	245	1	20	knock		1	1																													0
Leaping Lizards	100	1		10	1	99	10	rin	ring			100	15000	whit							att%/lvl	4			charged	54	50	10	light		1	3	regen		3	3																																	0
Scavenger	100	1		10	1	99	10	rin	ring			100	15000	whit							ac		50	100	oskill	142	1	10	light		1	3	regen		3	3																																	0
Shout It Out	100	1		10	1	99	10	rin	ring			100	15000	whit							ac%		30	50	oskill	138	1	10	light		1	3	regen		3	3																																	0
Howling Mad	100	1		10	1	99	10	rin	ring			100	15000	whit							att%/lvl	4			oskill	130	1	10	light		1	3	regen		3	3																																	0
Sticks and Stones	100	1		10	1	99	10	rin	ring			100	15000	whit							slow		30	50	oskill	137	1	10	light		1	3	regen		3	3																																	0
Greased Lightning	100	1		10	1	99	13	rin	ring			100	20000	whit							ignore-ac		1	1	oskill	258	1	10	light		1	3	regen		3	3																																	0
Cloak and Dagger	100	1		10	1	99	13	rin	ring			100	20000	whit							mana-kill		5	5	oskill	264	1	10	light		1	3	regen		3	3																																	0
Psycho	100	1		10	1	99	16	rin	ring			100	25000	whit							hp%		5	10	oskill	273	1	10	light		1	3	regen		3	3																																	0
Sparkler	100	1		10	1	99	10	rin	ring			100	15000	whit							mana%		5	10	oskill	261	1	10	light		1	3	regen		3	3																																	0
Flame Wave	100	1		10	1	99	13	rin	ring			100	20000	whit							regen-mana		20	40	oskill	262	1	10	light		1	3	regen		3	3																																	0
Rod of Light	100	1		10	1	99	16	rin	ring			100	25000	whit							regen		5	10	oskill	271	1	10	light		1	3	regen		3	3																																	0
Flamethrower	100	1		10	1	99	20	rin	ring			100	30000	whit							slow		30	50	oskill	272	1	10	light		1	3	regen		3	3																																	0
Cluster Bomb	100	1		5	1	99	23	rin	ring			100	35000	whit							dmg-pois	100	300	300	oskill	276	1	10	light		1	3	regen		3	3																																	0
The Ignorant	100	1		10	1	99	40	jew	Jewel			100	15000	whit							ignore-ac		1	1	slow		30	50	mana-kill		5	8	demon-heal		10	30	knock		1	1	freeze		1	2																									0
Vigilante	100	1		10	1	99	16	7gd	sword 2h			100	25000	whit							dmg%/lvl	8			swing3		50	80	att%/lvl	8			light		5	5	hit-skill	91	5	30	deadly		50	75																									0
DuKara's Sharp	100	1		10	1	99	25	7ss	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Long	100	1		10	1	99	25	7sm	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Fine	100	1		10	1	99	25	7sb	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Narrow	100	1		10	1	99	25	7fc	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Vicious	100	1		10	1	99	25	7cr	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Vorpal	100	1		10	1	99	25	7bs	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Singing	100	1		10	1	99	25	7ls	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Slicing	100	1		10	1	99	25	7wd	sword			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Glinting	100	1		10	1	99	25	72h	sword 2h			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Razor	100	1		10	1	99	25	7cm	sword 2h			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Fanged	100	1		10	1	99	25	7gs	sword 2h			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Wicked	100	1		10	1	99	25	7b7	sword 2h			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
DuKara's Victorious	100	1		10	1	99	25	7fb	sword 2h			100	37500	dgrn	dgrn						sock	6			light		1	3	rep-dur	30			dmg-pois	100	300	800	swing3		40	80	ignore-ac		1	1	lifesteal		3	15	dmg%		30	50	deadly		30	50													0
Frodo's Sharp	100	1		10	1	99	13	dgr	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Long	100	1		10	1	99	13	dir	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Fine	100	1		10	1	99	13	kri	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Narrow	100	1		10	1	99	13	bld	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Vicious	100	1		10	1	99	13	9dg	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Vorpal	100	1		10	1	99	13	9di	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Singing	100	1		10	1	99	13	9kr	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Slicing	100	1		10	1	99	13	9bl	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Glinting	100	1		10	1	99	13	7dg	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Razor	100	1		10	1	99	13	7di	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Pointy	100	1		10	1	99	13	7kr	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Frodo's Wicked	100	1		10	1	99	13	7bl	dagger			100	20000	cred	cred						sock	3			light		1	1	rep-dur	20			dmg-ltng		50	600	swing2		30	50	att%		50	100	dmg%		20	40																					0
Myrk's Smashing	100	1		10	1	99	20	scp	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Pulverizing	100	1		10	1	99	20	gsc	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Smiting	100	1		10	1	99	20	wsp	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Pounding	100	1		10	1	99	20	9sc	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Knocking	100	1		10	1	99	20	9qs	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Bashing	100	1		10	1	99	20	9ws	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Redemption	100	1		10	1	99	20	7sc	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Justice	100	1		10	1	99	20	7qs	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Myrk's Flailing	100	1		10	1	99	20	7ws	scepter			100	30000	dred	dred						sock	6			light		1	4	rep-dur	35			dmg-fire		200	600	swing3		40	80	dmg%/lvl	6			att%/lvl	6			crush		50	80																	0
Gandalf's Reflection	100	1		10	1	99	16	sst	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Memory	100	1		10	1	99	16	lst	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Thought	100	1		10	1	99	16	cst	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Reach	100	1		10	1	99	16	bst	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Lamentation	100	1		10	1	99	16	wst	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Glance	100	1		10	1	99	16	8ss	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Visage	100	1		10	1	99	16	8ls	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Vision	100	1		10	1	99	16	8cs	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Approval	100	1		10	1	99	16	8bs	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Rage	100	1		10	1	99	16	8ws	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Relief	100	1		10	1	99	16	6ss	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Advantage	100	1		10	1	99	16	6ls	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Decision	100	1		10	1	99	16	6cs	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Pride	100	1		10	1	99	16	6bs	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Gandalf's Rule	100	1		10	1	99	16	6ws	staff			100	25000	bwht	bwht						sock	6			light		2	5	rep-dur	20			dmg-cold	200	200	400	swing2		10	30	mana%		50	80	sor		3	3	ac/lvl	8			oskill	58	1	30													0
Legolis' Aim	100	1		10	1	99	16	sbw	bow			100	25000	cblu	cblu						sock	6			light		1	3	knock		1	1	ignore-ac		1	1	swing3		40	80	pierce		30	75	hit-skill	38	5	15	dmg/lvl	16																			0
Legolis' Accuracy	100	1		10	1	99	16	hbw	bow			100	25000	cblu	cblu						sock	6			light		1	3	knock		1	1	ignore-ac		1	1	swing3		40	80	pierce		30	75	hit-skill	38	5	15	dmg/lvl	16																			0
Legolis' Pinpoint	100	1		10	1	99	16	lbw	bow			100	25000	cblu	cblu						sock	6			light		1	3	knock		1	1	ignore-ac		1	1	swing3		40	80	pierce		30	75	hit-skill	38	5	15	dmg/lvl	16																			0
Legolis' Direction	100	1		10	1	99	16	cbw	bow			100	25000	cblu	cblu						sock	6			light		1	3	knock		1	1	ignore-ac		1	1	swing3		40	80	pierce		30	75	hit-skill	38	5	15	dmg/lvl	16																			0
