Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
2880	849316900	849316900	849316900	849316900	849316900	849316900	849316900	835
2881	849666900	849666900	849666900	849666900	849666900	849666900	849666900	835
2882	850016900	850016900	850016900	850016900	850016900	850016900	850016900	835
2883	850366900	850366900	850366900	850366900	850366900	850366900	850366900	835
2884	850716900	850716900	850716900	850716900	850716900	850716900	850716900	835
2885	851066900	851066900	851066900	851066900	851066900	851066900	851066900	835
2886	851416900	851416900	851416900	851416900	851416900	851416900	851416900	835
2887	851766900	851766900	851766900	851766900	851766900	851766900	851766900	835
2888	852116900	852116900	852116900	852116900	852116900	852116900	852116900	835
2889	852466900	852466900	852466900	852466900	852466900	852466900	852466900	835
2890	852816900	852816900	852816900	852816900	852816900	852816900	852816900	834
2891	853166900	853166900	853166900	853166900	853166900	853166900	853166900	834
2892	853516900	853516900	853516900	853516900	853516900	853516900	853516900	834
2893	853866900	853866900	853866900	853866900	853866900	853866900	853866900	834
2894	854216900	854216900	854216900	854216900	854216900	854216900	854216900	834
2895	854566900	854566900	854566900	854566900	854566900	854566900	854566900	834
2896	854916900	854916900	854916900	854916900	854916900	854916900	854916900	834
2897	855266900	855266900	855266900	855266900	855266900	855266900	855266900	834
2898	855616900	855616900	855616900	855616900	855616900	855616900	855616900	834
2899	855966900	855966900	855966900	855966900	855966900	855966900	855966900	834
2900	856316900	856316900	856316900	856316900	856316900	856316900	856316900	833
2901	856666900	856666900	856666900	856666900	856666900	856666900	856666900	833
2902	857016900	857016900	857016900	857016900	857016900	857016900	857016900	833
2903	857366900	857366900	857366900	857366900	857366900	857366900	857366900	833
2904	857716900	857716900	857716900	857716900	857716900	857716900	857716900	833
2905	858066900	858066900	858066900	858066900	858066900	858066900	858066900	833
2906	858416900	858416900	858416900	858416900	858416900	858416900	858416900	833
2907	858766900	858766900	858766900	858766900	858766900	858766900	858766900	833
2908	859116900	859116900	859116900	859116900	859116900	859116900	859116900	833
2909	859466900	859466900	859466900	859466900	859466900	859466900	859466900	833
2910	859816900	859816900	859816900	859816900	859816900	859816900	859816900	832
2911	860166900	860166900	860166900	860166900	860166900	860166900	860166900	832
2912	860516900	860516900	860516900	860516900	860516900	860516900	860516900	832
2913	860866900	860866900	860866900	860866900	860866900	860866900	860866900	832
2914	861216900	861216900	861216900	861216900	861216900	861216900	861216900	832
2915	861566900	861566900	861566900	861566900	861566900	861566900	861566900	832
2916	861916900	861916900	861916900	861916900	861916900	861916900	861916900	832
2917	862266900	862266900	862266900	862266900	862266900	862266900	862266900	832
2918	862616900	862616900	862616900	862616900	862616900	862616900	862616900	832
2919	862966900	862966900	862966900	862966900	862966900	862966900	862966900	832
2920	863316900	863316900	863316900	863316900	863316900	863316900	863316900	831
2921	863666900	863666900	863666900	863666900	863666900	863666900	863666900	831
2922	864016900	864016900	864016900	864016900	864016900	864016900	864016900	831
2923	864366900	864366900	864366900	864366900	864366900	864366900	864366900	831
2924	864716900	864716900	864716900	864716900	864716900	864716900	864716900	831
2925	865066900	865066900	865066900	865066900	865066900	865066900	865066900	831
2926	865416900	865416900	865416900	865416900	865416900	865416900	865416900	831
2927	865766900	865766900	865766900	865766900	865766900	865766900	865766900	831
2928	866116900	866116900	866116900	866116900	866116900	866116900	866116900	831
2929	866466900	866466900	866466900	866466900	866466900	866466900	866466900	831
2930	866816900	866816900	866816900	866816900	866816900	866816900	866816900	830
2931	867166900	867166900	867166900	867166900	867166900	867166900	867166900	830
2932	867516900	867516900	867516900	867516900	867516900	867516900	867516900	830
2933	867866900	867866900	867866900	867866900	867866900	867866900	867866900	830
2934	868216900	868216900	868216900	868216900	868216900	868216900	868216900	830
2935	868566900	868566900	868566900	868566900	868566900	868566900	868566900	830
2936	868916900	868916900	868916900	868916900	868916900	868916900	868916900	830
2937	869266900	869266900	869266900	869266900	869266900	869266900	869266900	830
2938	869616900	869616900	869616900	869616900	869616900	869616900	869616900	830
2939	869966900	869966900	869966900	869966900	869966900	869966900	869966900	830
2940	870316900	870316900	870316900	870316900	870316900	870316900	870316900	829
2941	870666900	870666900	870666900	870666900	870666900	870666900	870666900	829
2942	871016900	871016900	871016900	871016900	871016900	871016900	871016900	829
2943	871366900	871366900	871366900	871366900	871366900	871366900	871366900	829
2944	871716900	871716900	871716900	871716900	871716900	871716900	871716900	829
2945	872066900	872066900	872066900	872066900	872066900	872066900	872066900	829
2946	872416900	872416900	872416900	872416900	872416900	872416900	872416900	829
2947	872766900	872766900	872766900	872766900	872766900	872766900	872766900	829
2948	873116900	873116900	873116900	873116900	873116900	873116900	873116900	829
2949	873466900	873466900	873466900	873466900	873466900	873466900	873466900	829
2950	873816900	873816900	873816900	873816900	873816900	873816900	873816900	828
2951	874166900	874166900	874166900	874166900	874166900	874166900	874166900	828
2952	874516900	874516900	874516900	874516900	874516900	874516900	874516900	828
2953	874866900	874866900	874866900	874866900	874866900	874866900	874866900	828
2954	875216900	875216900	875216900	875216900	875216900	875216900	875216900	828
2955	875566900	875566900	875566900	875566900	875566900	875566900	875566900	828
2956	875916900	875916900	875916900	875916900	875916900	875916900	875916900	828
2957	876266900	876266900	876266900	876266900	876266900	876266900	876266900	828
2958	876616900	876616900	876616900	876616900	876616900	876616900	876616900	828
2959	876966900	876966900	876966900	876966900	876966900	876966900	876966900	828
2960	877316900	877316900	877316900	877316900	877316900	877316900	877316900	827
2961	877666900	877666900	877666900	877666900	877666900	877666900	877666900	827
2962	878016900	878016900	878016900	878016900	878016900	878016900	878016900	827
2963	878366900	878366900	878366900	878366900	878366900	878366900	878366900	827
2964	878716900	878716900	878716900	878716900	878716900	878716900	878716900	827
2965	879066900	879066900	879066900	879066900	879066900	879066900	879066900	827
2966	879416900	879416900	879416900	879416900	879416900	879416900	879416900	827
2967	879766900	879766900	879766900	879766900	879766900	879766900	879766900	827
2968	880116900	880116900	880116900	880116900	880116900	880116900	880116900	827
2969	880466900	880466900	880466900	880466900	880466900	880466900	880466900	827
2970	880816900	880816900	880816900	880816900	880816900	880816900	880816900	826
2971	881166900	881166900	881166900	881166900	881166900	881166900	881166900	826
2972	881516900	881516900	881516900	881516900	881516900	881516900	881516900	826
2973	881866900	881866900	881866900	881866900	881866900	881866900	881866900	826
2974	882216900	882216900	882216900	882216900	882216900	882216900	882216900	826
2975	882566900	882566900	882566900	882566900	882566900	882566900	882566900	826
2976	882916900	882916900	882916900	882916900	882916900	882916900	882916900	826
2977	883266900	883266900	883266900	883266900	883266900	883266900	883266900	826
2978	883616900	883616900	883616900	883616900	883616900	883616900	883616900	826
2979	883966900	883966900	883966900	883966900	883966900	883966900	883966900	826
2980	884316900	884316900	884316900	884316900	884316900	884316900	884316900	825
2981	884666900	884666900	884666900	884666900	884666900	884666900	884666900	825
2982	885016900	885016900	885016900	885016900	885016900	885016900	885016900	825
2983	885366900	885366900	885366900	885366900	885366900	885366900	885366900	825
2984	885716900	885716900	885716900	885716900	885716900	885716900	885716900	825
2985	886066900	886066900	886066900	886066900	886066900	886066900	886066900	825
2986	886416900	886416900	886416900	886416900	886416900	886416900	886416900	825
2987	886766900	886766900	886766900	886766900	886766900	886766900	886766900	825
2988	887116900	887116900	887116900	887116900	887116900	887116900	887116900	825
2989	887466900	887466900	887466900	887466900	887466900	887466900	887466900	825
2990	887816900	887816900	887816900	887816900	887816900	887816900	887816900	824
2991	888166900	888166900	888166900	888166900	888166900	888166900	888166900	824
2992	888516900	888516900	888516900	888516900	888516900	888516900	888516900	824
2993	888866900	888866900	888866900	888866900	888866900	888866900	888866900	824
2994	889216900	889216900	889216900	889216900	889216900	889216900	889216900	824
2995	889566900	889566900	889566900	889566900	889566900	889566900	889566900	824
2996	889916900	889916900	889916900	889916900	889916900	889916900	889916900	824
2997	890266900	890266900	890266900	890266900	890266900	890266900	890266900	824
2998	890616900	890616900	890616900	890616900	890616900	890616900	890616900	824
2999	890966900	890966900	890966900	890966900	890966900	890966900	890966900	824
3000	891316900	891316900	891316900	891316900	891316900	891316900	891316900	823
3001	891666900	891666900	891666900	891666900	891666900	891666900	891666900	823
3002	892016900	892016900	892016900	892016900	892016900	892016900	892016900	823
3003	892366900	892366900	892366900	892366900	892366900	892366900	892366900	823
3004	892716900	892716900	892716900	892716900	892716900	892716900	892716900	823
3005	893066900	893066900	893066900	893066900	893066900	893066900	893066900	823
3006	893416900	893416900	893416900	893416900	893416900	893416900	893416900	823
3007	893766900	893766900	893766900	893766900	893766900	893766900	893766900	823
3008	894116900	894116900	894116900	894116900	894116900	894116900	894116900	823
3009	894466900	894466900	894466900	894466900	894466900	894466900	894466900	823
3010	894816900	894816900	894816900	894816900	894816900	894816900	894816900	822
3011	895166900	895166900	895166900	895166900	895166900	895166900	895166900	822
3012	895516900	895516900	895516900	895516900	895516900	895516900	895516900	822
3013	895866900	895866900	895866900	895866900	895866900	895866900	895866900	822
3014	896216900	896216900	896216900	896216900	896216900	896216900	896216900	822
3015	896566900	896566900	896566900	896566900	896566900	896566900	896566900	822
3016	896916900	896916900	896916900	896916900	896916900	896916900	896916900	822
3017	897266900	897266900	897266900	897266900	897266900	897266900	897266900	822
3018	897616900	897616900	897616900	897616900	897616900	897616900	897616900	822
3019	897966900	897966900	897966900	897966900	897966900	897966900	897966900	822
3020	898316900	898316900	898316900	898316900	898316900	898316900	898316900	821
3021	898666900	898666900	898666900	898666900	898666900	898666900	898666900	821
3022	899016900	899016900	899016900	899016900	899016900	899016900	899016900	821
3023	899366900	899366900	899366900	899366900	899366900	899366900	899366900	821
3024	899716900	899716900	899716900	899716900	899716900	899716900	899716900	821
3025	900066900	900066900	900066900	900066900	900066900	900066900	900066900	821
3026	900416900	900416900	900416900	900416900	900416900	900416900	900416900	821
3027	900766900	900766900	900766900	900766900	900766900	900766900	900766900	821
3028	901116900	901116900	901116900	901116900	901116900	901116900	901116900	821
3029	901466900	901466900	901466900	901466900	901466900	901466900	901466900	821
3030	901816900	901816900	901816900	901816900	901816900	901816900	901816900	820
3031	902166900	902166900	902166900	902166900	902166900	902166900	902166900	820
3032	902516900	902516900	902516900	902516900	902516900	902516900	902516900	820
3033	902866900	902866900	902866900	902866900	902866900	902866900	902866900	820
3034	903216900	903216900	903216900	903216900	903216900	903216900	903216900	820
3035	903566900	903566900	903566900	903566900	903566900	903566900	903566900	820
3036	903916900	903916900	903916900	903916900	903916900	903916900	903916900	820
3037	904266900	904266900	904266900	904266900	904266900	904266900	904266900	820
3038	904616900	904616900	904616900	904616900	904616900	904616900	904616900	820
3039	904966900	904966900	904966900	904966900	904966900	904966900	904966900	820
3040	905316900	905316900	905316900	905316900	905316900	905316900	905316900	819
3041	905666900	905666900	905666900	905666900	905666900	905666900	905666900	819
3042	906016900	906016900	906016900	906016900	906016900	906016900	906016900	819
3043	906366900	906366900	906366900	906366900	906366900	906366900	906366900	819
3044	906716900	906716900	906716900	906716900	906716900	906716900	906716900	819
3045	907066900	907066900	907066900	907066900	907066900	907066900	907066900	819
3046	907416900	907416900	907416900	907416900	907416900	907416900	907416900	819
3047	907766900	907766900	907766900	907766900	907766900	907766900	907766900	819
3048	908116900	908116900	908116900	908116900	908116900	908116900	908116900	819
3049	908466900	908466900	908466900	908466900	908466900	908466900	908466900	819
3050	908816900	908816900	908816900	908816900	908816900	908816900	908816900	818
3051	909166900	909166900	909166900	909166900	909166900	909166900	909166900	818
3052	909516900	909516900	909516900	909516900	909516900	909516900	909516900	818
3053	909866900	909866900	909866900	909866900	909866900	909866900	909866900	818
3054	910216900	910216900	910216900	910216900	910216900	910216900	910216900	818
3055	910566900	910566900	910566900	910566900	910566900	910566900	910566900	818
3056	910916900	910916900	910916900	910916900	910916900	910916900	910916900	818
3057	911266900	911266900	911266900	911266900	911266900	911266900	911266900	818
3058	911616900	911616900	911616900	911616900	911616900	911616900	911616900	818
3059	911966900	911966900	911966900	911966900	911966900	911966900	911966900	818
3060	912316900	912316900	912316900	912316900	912316900	912316900	912316900	817
3061	912666900	912666900	912666900	912666900	912666900	912666900	912666900	817
3062	913016900	913016900	913016900	913016900	913016900	913016900	913016900	817
3063	913366900	913366900	913366900	913366900	913366900	913366900	913366900	817
3064	913716900	913716900	913716900	913716900	913716900	913716900	913716900	817
3065	914066900	914066900	914066900	914066900	914066900	914066900	914066900	817
3066	914416900	914416900	914416900	914416900	914416900	914416900	914416900	817
3067	914766900	914766900	914766900	914766900	914766900	914766900	914766900	817
3068	915116900	915116900	915116900	915116900	915116900	915116900	915116900	817
3069	915466900	915466900	915466900	915466900	915466900	915466900	915466900	817
3070	915816900	915816900	915816900	915816900	915816900	915816900	915816900	816
3071	916166900	916166900	916166900	916166900	916166900	916166900	916166900	816
3072	916516900	916516900	916516900	916516900	916516900	916516900	916516900	816
3073	916866900	916866900	916866900	916866900	916866900	916866900	916866900	816
3074	917216900	917216900	917216900	917216900	917216900	917216900	917216900	816
3075	917566900	917566900	917566900	917566900	917566900	917566900	917566900	816
3076	917916900	917916900	917916900	917916900	917916900	917916900	917916900	816
3077	918266900	918266900	918266900	918266900	918266900	918266900	918266900	816
3078	918616900	918616900	918616900	918616900	918616900	918616900	918616900	816
3079	918966900	918966900	918966900	918966900	918966900	918966900	918966900	816
3080	919316900	919316900	919316900	919316900	919316900	919316900	919316900	815
3081	919666900	919666900	919666900	919666900	919666900	919666900	919666900	815
3082	920016900	920016900	920016900	920016900	920016900	920016900	920016900	815
3083	920366900	920366900	920366900	920366900	920366900	920366900	920366900	815
3084	920716900	920716900	920716900	920716900	920716900	920716900	920716900	815
3085	921066900	921066900	921066900	921066900	921066900	921066900	921066900	815
3086	921416900	921416900	921416900	921416900	921416900	921416900	921416900	815
3087	921766900	921766900	921766900	921766900	921766900	921766900	921766900	815
3088	922116900	922116900	922116900	922116900	922116900	922116900	922116900	815
3089	922466900	922466900	922466900	922466900	922466900	922466900	922466900	815
3090	922816900	922816900	922816900	922816900	922816900	922816900	922816900	814
3091	923166900	923166900	923166900	923166900	923166900	923166900	923166900	814
3092	923516900	923516900	923516900	923516900	923516900	923516900	923516900	814
3093	923866900	923866900	923866900	923866900	923866900	923866900	923866900	814
3094	924216900	924216900	924216900	924216900	924216900	924216900	924216900	814
3095	924566900	924566900	924566900	924566900	924566900	924566900	924566900	814
3096	924916900	924916900	924916900	924916900	924916900	924916900	924916900	814
3097	925266900	925266900	925266900	925266900	925266900	925266900	925266900	814
3098	925616900	925616900	925616900	925616900	925616900	925616900	925616900	814
3099	925966900	925966900	925966900	925966900	925966900	925966900	925966900	814
3100	926316900	926316900	926316900	926316900	926316900	926316900	926316900	813
3101	926666900	926666900	926666900	926666900	926666900	926666900	926666900	813
3102	927016900	927016900	927016900	927016900	927016900	927016900	927016900	813
3103	927366900	927366900	927366900	927366900	927366900	927366900	927366900	813
3104	927716900	927716900	927716900	927716900	927716900	927716900	927716900	813
3105	928066900	928066900	928066900	928066900	928066900	928066900	928066900	813
3106	928416900	928416900	928416900	928416900	928416900	928416900	928416900	813
3107	928766900	928766900	928766900	928766900	928766900	928766900	928766900	813
3108	929116900	929116900	929116900	929116900	929116900	929116900	929116900	813
3109	929466900	929466900	929466900	929466900	929466900	929466900	929466900	813
3110	929816900	929816900	929816900	929816900	929816900	929816900	929816900	812
3111	930166900	930166900	930166900	930166900	930166900	930166900	930166900	812
3112	930516900	930516900	930516900	930516900	930516900	930516900	930516900	812
3113	930866900	930866900	930866900	930866900	930866900	930866900	930866900	812
3114	931216900	931216900	931216900	931216900	931216900	931216900	931216900	812
3115	931566900	931566900	931566900	931566900	931566900	931566900	931566900	812
3116	931916900	931916900	931916900	931916900	931916900	931916900	931916900	812
3117	932266900	932266900	932266900	932266900	932266900	932266900	932266900	812
3118	932616900	932616900	932616900	932616900	932616900	932616900	932616900	812
3119	932966900	932966900	932966900	932966900	932966900	932966900	932966900	812
3120	933316900	933316900	933316900	933316900	933316900	933316900	933316900	811
3121	933666900	933666900	933666900	933666900	933666900	933666900	933666900	811
3122	934016900	934016900	934016900	934016900	934016900	934016900	934016900	811
3123	934366900	934366900	934366900	934366900	934366900	934366900	934366900	811
3124	934716900	934716900	934716900	934716900	934716900	934716900	934716900	811
3125	935066900	935066900	935066900	935066900	935066900	935066900	935066900	811
3126	935416900	935416900	935416900	935416900	935416900	935416900	935416900	811
3127	935766900	935766900	935766900	935766900	935766900	935766900	935766900	811
3128	936116900	936116900	936116900	936116900	936116900	936116900	936116900	811
3129	936466900	936466900	936466900	936466900	936466900	936466900	936466900	811
3130	936816900	936816900	936816900	936816900	936816900	936816900	936816900	810
3131	937166900	937166900	937166900	937166900	937166900	937166900	937166900	810
3132	937516900	937516900	937516900	937516900	937516900	937516900	937516900	810
3133	937866900	937866900	937866900	937866900	937866900	937866900	937866900	810
3134	938216900	938216900	938216900	938216900	938216900	938216900	938216900	810
3135	938566900	938566900	938566900	938566900	938566900	938566900	938566900	810
3136	938916900	938916900	938916900	938916900	938916900	938916900	938916900	810
3137	939266900	939266900	939266900	939266900	939266900	939266900	939266900	810
3138	939616900	939616900	939616900	939616900	939616900	939616900	939616900	810
3139	939966900	939966900	939966900	939966900	939966900	939966900	939966900	810
3140	940316900	940316900	940316900	940316900	940316900	940316900	940316900	809
3141	940666900	940666900	940666900	940666900	940666900	940666900	940666900	809
3142	941016900	941016900	941016900	941016900	941016900	941016900	941016900	809
3143	941366900	941366900	941366900	941366900	941366900	941366900	941366900	809
3144	941716900	941716900	941716900	941716900	941716900	941716900	941716900	809
3145	942066900	942066900	942066900	942066900	942066900	942066900	942066900	809
3146	942416900	942416900	942416900	942416900	942416900	942416900	942416900	809
3147	942766900	942766900	942766900	942766900	942766900	942766900	942766900	809
3148	943116900	943116900	943116900	943116900	943116900	943116900	943116900	809
3149	943466900	943466900	943466900	943466900	943466900	943466900	943466900	809
3150	943816900	943816900	943816900	943816900	943816900	943816900	943816900	808
3151	944166900	944166900	944166900	944166900	944166900	944166900	944166900	808
3152	944516900	944516900	944516900	944516900	944516900	944516900	944516900	808
3153	944866900	944866900	944866900	944866900	944866900	944866900	944866900	808
3154	945216900	945216900	945216900	945216900	945216900	945216900	945216900	808
3155	945566900	945566900	945566900	945566900	945566900	945566900	945566900	808
3156	945916900	945916900	945916900	945916900	945916900	945916900	945916900	808
3157	946266900	946266900	946266900	946266900	946266900	946266900	946266900	808
3158	946616900	946616900	946616900	946616900	946616900	946616900	946616900	808
3159	946966900	946966900	946966900	946966900	946966900	946966900	946966900	808
3160	947316900	947316900	947316900	947316900	947316900	947316900	947316900	807
3161	947666900	947666900	947666900	947666900	947666900	947666900	947666900	807
3162	948016900	948016900	948016900	948016900	948016900	948016900	948016900	807
3163	948366900	948366900	948366900	948366900	948366900	948366900	948366900	807
3164	948716900	948716900	948716900	948716900	948716900	948716900	948716900	807
3165	949066900	949066900	949066900	949066900	949066900	949066900	949066900	807
3166	949416900	949416900	949416900	949416900	949416900	949416900	949416900	807
3167	949766900	949766900	949766900	949766900	949766900	949766900	949766900	807
3168	950116900	950116900	950116900	950116900	950116900	950116900	950116900	807
3169	950466900	950466900	950466900	950466900	950466900	950466900	950466900	807
3170	950816900	950816900	950816900	950816900	950816900	950816900	950816900	806
3171	951166900	951166900	951166900	951166900	951166900	951166900	951166900	806
3172	951516900	951516900	951516900	951516900	951516900	951516900	951516900	806
3173	951866900	951866900	951866900	951866900	951866900	951866900	951866900	806
3174	952216900	952216900	952216900	952216900	952216900	952216900	952216900	806
3175	952566900	952566900	952566900	952566900	952566900	952566900	952566900	806
3176	952916900	952916900	952916900	952916900	952916900	952916900	952916900	806
3177	953266900	953266900	953266900	953266900	953266900	953266900	953266900	806
3178	953616900	953616900	953616900	953616900	953616900	953616900	953616900	806
3179	953966900	953966900	953966900	953966900	953966900	953966900	953966900	806
3180	954316900	954316900	954316900	954316900	954316900	954316900	954316900	805
3181	954666900	954666900	954666900	954666900	954666900	954666900	954666900	805
3182	955016900	955016900	955016900	955016900	955016900	955016900	955016900	805
3183	955366900	955366900	955366900	955366900	955366900	955366900	955366900	805
3184	955716900	955716900	955716900	955716900	955716900	955716900	955716900	805
3185	956066900	956066900	956066900	956066900	956066900	956066900	956066900	805
3186	956416900	956416900	956416900	956416900	956416900	956416900	956416900	805
3187	956766900	956766900	956766900	956766900	956766900	956766900	956766900	805
3188	957116900	957116900	957116900	957116900	957116900	957116900	957116900	805
3189	957466900	957466900	957466900	957466900	957466900	957466900	957466900	805
3190	957816900	957816900	957816900	957816900	957816900	957816900	957816900	804
3191	958166900	958166900	958166900	958166900	958166900	958166900	958166900	804
3192	958516900	958516900	958516900	958516900	958516900	958516900	958516900	804
3193	958866900	958866900	958866900	958866900	958866900	958866900	958866900	804
3194	959216900	959216900	959216900	959216900	959216900	959216900	959216900	804
3195	959566900	959566900	959566900	959566900	959566900	959566900	959566900	804
3196	959916900	959916900	959916900	959916900	959916900	959916900	959916900	804
3197	960266900	960266900	960266900	960266900	960266900	960266900	960266900	804
3198	960666900	960666900	960666900	960666900	960666900	960666900	960666900	804
3199	961066900	961066900	961066900	961066900	961066900	961066900	961066900	804
3200	961466900	961466900	961466900	961466900	961466900	961466900	961466900	803
3201	961866900	961866900	961866900	961866900	961866900	961866900	961866900	803
3202	962266900	962266900	962266900	962266900	962266900	962266900	962266900	803
3203	962666900	962666900	962666900	962666900	962666900	962666900	962666900	803
3204	963066900	963066900	963066900	963066900	963066900	963066900	963066900	803
3205	963466900	963466900	963466900	963466900	963466900	963466900	963466900	803
3206	963866900	963866900	963866900	963866900	963866900	963866900	963866900	803
3207	964266900	964266900	964266900	964266900	964266900	964266900	964266900	803
3208	964666900	964666900	964666900	964666900	964666900	964666900	964666900	803
3209	965066900	965066900	965066900	965066900	965066900	965066900	965066900	803
3210	965466900	965466900	965466900	965466900	965466900	965466900	965466900	802
3211	965866900	965866900	965866900	965866900	965866900	965866900	965866900	802
3212	966266900	966266900	966266900	966266900	966266900	966266900	966266900	802
3213	966666900	966666900	966666900	966666900	966666900	966666900	966666900	802
3214	967066900	967066900	967066900	967066900	967066900	967066900	967066900	802
3215	967466900	967466900	967466900	967466900	967466900	967466900	967466900	802
3216	967866900	967866900	967866900	967866900	967866900	967866900	967866900	802
3217	968266900	968266900	968266900	968266900	968266900	968266900	968266900	802
3218	968666900	968666900	968666900	968666900	968666900	968666900	968666900	802
3219	969066900	969066900	969066900	969066900	969066900	969066900	969066900	802
3220	969466900	969466900	969466900	969466900	969466900	969466900	969466900	801
3221	969866900	969866900	969866900	969866900	969866900	969866900	969866900	801
3222	970266900	970266900	970266900	970266900	970266900	970266900	970266900	801
3223	970666900	970666900	970666900	970666900	970666900	970666900	970666900	801
3224	971066900	971066900	971066900	971066900	971066900	971066900	971066900	801
3225	971466900	971466900	971466900	971466900	971466900	971466900	971466900	801
3226	971866900	971866900	971866900	971866900	971866900	971866900	971866900	801
3227	972266900	972266900	972266900	972266900	972266900	972266900	972266900	801
3228	972666900	972666900	972666900	972666900	972666900	972666900	972666900	801
3229	973066900	973066900	973066900	973066900	973066900	973066900	973066900	801
3230	973466900	973466900	973466900	973466900	973466900	973466900	973466900	800
3231	973866900	973866900	973866900	973866900	973866900	973866900	973866900	800
3232	974266900	974266900	974266900	974266900	974266900	974266900	974266900	800
3233	974666900	974666900	974666900	974666900	974666900	974666900	974666900	800
3234	975066900	975066900	975066900	975066900	975066900	975066900	975066900	800
3235	975466900	975466900	975466900	975466900	975466900	975466900	975466900	800
3236	975866900	975866900	975866900	975866900	975866900	975866900	975866900	800
3237	976266900	976266900	976266900	976266900	976266900	976266900	976266900	800
3238	976666900	976666900	976666900	976666900	976666900	976666900	976666900	800
3239	977066900	977066900	977066900	977066900	977066900	977066900	977066900	800
3240	977466900	977466900	977466900	977466900	977466900	977466900	977466900	799
3241	977866900	977866900	977866900	977866900	977866900	977866900	977866900	799
3242	978266900	978266900	978266900	978266900	978266900	978266900	978266900	799
3243	978666900	978666900	978666900	978666900	978666900	978666900	978666900	799
3244	979066900	979066900	979066900	979066900	979066900	979066900	979066900	799
3245	979466900	979466900	979466900	979466900	979466900	979466900	979466900	799
3246	979866900	979866900	979866900	979866900	979866900	979866900	979866900	799
3247	980266900	980266900	980266900	980266900	980266900	980266900	980266900	799
3248	980666900	980666900	980666900	980666900	980666900	980666900	980666900	799
3249	981066900	981066900	981066900	981066900	981066900	981066900	981066900	799
3250	981466900	981466900	981466900	981466900	981466900	981466900	981466900	798
3251	981866900	981866900	981866900	981866900	981866900	981866900	981866900	798
3252	982266900	982266900	982266900	982266900	982266900	982266900	982266900	798
3253	982666900	982666900	982666900	982666900	982666900	982666900	982666900	798
3254	983066900	983066900	983066900	983066900	983066900	983066900	983066900	798
3255	983466900	983466900	983466900	983466900	983466900	983466900	983466900	798
3256	983866900	983866900	983866900	983866900	983866900	983866900	983866900	798
3257	984266900	984266900	984266900	984266900	984266900	984266900	984266900	798
3258	984666900	984666900	984666900	984666900	984666900	984666900	984666900	798
3259	985066900	985066900	985066900	985066900	985066900	985066900	985066900	798
3260	985466900	985466900	985466900	985466900	985466900	985466900	985466900	797
3261	985866900	985866900	985866900	985866900	985866900	985866900	985866900	797
3262	986266900	986266900	986266900	986266900	986266900	986266900	986266900	797
3263	986666900	986666900	986666900	986666900	986666900	986666900	986666900	797
3264	987066900	987066900	987066900	987066900	987066900	987066900	987066900	797
3265	987466900	987466900	987466900	987466900	987466900	987466900	987466900	797
3266	987866900	987866900	987866900	987866900	987866900	987866900	987866900	797
3267	988266900	988266900	988266900	988266900	988266900	988266900	988266900	797
3268	988666900	988666900	988666900	988666900	988666900	988666900	988666900	797
3269	989066900	989066900	989066900	989066900	989066900	989066900	989066900	797
3270	989466900	989466900	989466900	989466900	989466900	989466900	989466900	796
3271	989866900	989866900	989866900	989866900	989866900	989866900	989866900	796
3272	990266900	990266900	990266900	990266900	990266900	990266900	990266900	796
3273	990666900	990666900	990666900	990666900	990666900	990666900	990666900	796
3274	991066900	991066900	991066900	991066900	991066900	991066900	991066900	796
3275	991466900	991466900	991466900	991466900	991466900	991466900	991466900	796
3276	991866900	991866900	991866900	991866900	991866900	991866900	991866900	796
3277	992266900	992266900	992266900	992266900	992266900	992266900	992266900	796
3278	992666900	992666900	992666900	992666900	992666900	992666900	992666900	796
3279	993066900	993066900	993066900	993066900	993066900	993066900	993066900	796
3280	993466900	993466900	993466900	993466900	993466900	993466900	993466900	795
3281	993866900	993866900	993866900	993866900	993866900	993866900	993866900	795
3282	994266900	994266900	994266900	994266900	994266900	994266900	994266900	795
3283	994666900	994666900	994666900	994666900	994666900	994666900	994666900	795
3284	995066900	995066900	995066900	995066900	995066900	995066900	995066900	795
3285	995466900	995466900	995466900	995466900	995466900	995466900	995466900	795
3286	995866900	995866900	995866900	995866900	995866900	995866900	995866900	795
3287	996266900	996266900	996266900	996266900	996266900	996266900	996266900	795
3288	996666900	996666900	996666900	996666900	996666900	996666900	996666900	795
3289	997066900	997066900	997066900	997066900	997066900	997066900	997066900	795
3290	997466900	997466900	997466900	997466900	997466900	997466900	997466900	794
3291	997866900	997866900	997866900	997866900	997866900	997866900	997866900	794
3292	998266900	998266900	998266900	998266900	998266900	998266900	998266900	794
3293	998666900	998666900	998666900	998666900	998666900	998666900	998666900	794
3294	999066900	999066900	999066900	999066900	999066900	999066900	999066900	794
3295	999466900	999466900	999466900	999466900	999466900	999466900	999466900	794
3296	999866900	999866900	999866900	999866900	999866900	999866900	999866900	794
3297	1000266900	1000266900	1000266900	1000266900	1000266900	1000266900	1000266900	794
3298	1000666900	1000666900	1000666900	1000666900	1000666900	1000666900	1000666900	794
3299	1001066900	1001066900	1001066900	1001066900	1001066900	1001066900	1001066900	794
3300	1001466900	1001466900	1001466900	1001466900	1001466900	1001466900	1001466900	793
