Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ		Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
pantherwoman2	84	pantherwoman2		1	SaberCat	pantherwoman2		pantherwoman	PantherWoman		PW  	1													5	11	0	9	16	1	33	33	33	pantherwoman	pantherwoman	10	15	14	13				80	80	80	80	80	85	12	12	12	6	6	6	30	40	50																		0	0	1	1	0	0	1	0	0	0	0	0	1	0		1	1			0	0	0	0	1																										100	100	100	-50	-40	-33	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	100	0	2				20	20	20		40	100	72	27	40	110	73	0	0	0	0	0	0	40	100	72	27	40	110	73	0	0	0	0	0	0	40	100	72	27	40	110	73	0	0	0	0	0	0																																											Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
pantherwoman3	85	pantherwoman3		2	NightTiger	pantherwoman3		pantherwoman	PantherWoman		PW  	1													5	14	0	10	17	1	41	41	41	pantherwoman	pantherwoman	10	15	14	13				90	90	90	90	90	90	16	12	12	6	6	6	30	40	50																		0	0	1	1	0	0	1	0	0	0	0	0	1	0		1	1			0	0	0	0	1																										100	100	100	-50	-40	-33	10	5	5	5	5	5	10	5	5	5	5	5	10	5	5	105	5	5	2				25	25	25		40	100	74	35	40	110	74	0	0	0	0	0	0	40	100	74	35	40	110	74	0	0	0	0	0	0	40	100	74	35	40	110	74	0	0	0	0	0	0																																											Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
pantherwoman4	86	pantherwoman4		3	HellCat	pantherwoman4		pantherwoman	PantherWoman		PW  	1													6	17	0	11	18	1	54	54	54	pantherwoman	pantherwoman	10	15	14	13				90	90	90	90	90	95	24	12	12	6	6	6	30	40	50																		0	0	1	1	0	0	1	0	0	0	0	0	1	0		1	1			0	0	0	0	1																										100	100	100	-50	-40	-33	20	10	10	10	10	10	20	10	10	10	10	10	20	10	110	10	10	10	3				30	30	30		40	100	75	49	40	110	77	0	0	0	0	0	0	40	100	75	49	40	110	77	0	0	0	0	0	0	40	100	75	49	40	110	77	0	0	0	0	0	0																																											Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C				0	0	0	0	0
swarm1	87	swarm1		0	Itchies	swarm1		swarm	Swarm	drains stamina	SW  	1													2	5	0	6	9	1	13	13	13	swarm	swarm	10	15	14	13				60	60	60	19	17	15	50	55	65																								0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	1	0	0																										100	75	50	-50	-40	-33	0	60	0	50	0	0	0	60	0	75	0	0	0	60	0	100	0	0	2				17	17	17		45	85	68	29	35	80	76	0	0	0	0	0	0	45	85	68	29	35	80	76	0	0	0	0	0	0	45	85	68	29	35	80	76	0	0	0	0	0	0	A1	stam	50	40	80	200	50	40	80	200	50	40	80	200																													Swarm 1	Act 2 Champ B	Act 2 Unique B		Swarm 1 (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		Swarm 1 (H)	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
swarm2	88	swarm2		1	BlackLocusts	swarm2		swarm	Swarm	drains stamina	SW  	1													3	7	0	9	11	1	20	20	20	swarm	swarm	10	15	14	13				60	60	60	18	16	14	50	55	65																								0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	1	0	0																										100	75	50	-50	-40	-33	5	70	0	50	0	0	5	70	0	75	0	0	5	70	0	100	0	0	2				17	17	17		45	85	69	39	35	80	75	0	0	0	0	0	0	45	85	69	39	35	80	75	0	0	0	0	0	0	45	85	69	39	35	80	75	0	0	0	0	0	0	A1	stam	60	40	80	300	60	40	80	300	60	40	80	300																													Swarm 1	Act 2 Champ B	Act 2 Unique B		Swarm 1 (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		Swarm 1 (H)	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
swarm3	89	swarm3		2	PlagueBugs	swarm3		swarm	Swarm	drains stamina	SW  	1													4	9	0	10	12	1	33	33	33	swarm	swarm	10	15	14	13				60	60	60	17	15	13	50	60	70																								0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	1	0	0																										100	75	50	-50	-40	-33	10	85	5	55	5	5	10	85	5	80	5	5	10	85	5	105	5	5	2				21	21	21		45	85	73	46	35	80	77	0	0	0	0	0	0	45	85	73	46	35	80	77	0	0	0	0	0	0	45	85	73	46	35	80	77	0	0	0	0	0	0	A1	stam	70	40	80	400	70	40	80	400	70	40	80	400																													Swarm 2	Act 3 Champ B	Act 3 Unique B		Swarm 2 (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		Swarm 2 (H)	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
swarm4	90	swarm4		3	HellSwarm	swarm4		swarm	Swarm	drains stamina	SW  	1													5	10	0	10	13	1	46	46	46	swarm	swarm	10	15	14	13				60	60	60	16	14	12	50	60	70																								0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	1	0	0																										100	75	50	-50	-40	-33	20	100	10	60	10	10	20	100	10	85	10	10	20	100	10	110	10	10	4				22	22	22		45	85	73	79	35	80	84	0	0	0	0	0	0	45	85	73	79	35	80	84	0	0	0	0	0	0	45	85	73	79	35	80	84	0	0	0	0	0	0	A1	stam	80	40	80	800	80	40	80	800	80	40	80	800																													Act 2 Champ A	Act 3 Champ B	Act 3 Unique B		Act 2 (N) Champ A	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 2 (H) Champ A	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
scarab1	91	scarab1		0	DungSoldier	scarab1		scarab	Scarab		SC  	1							scarab1		1	1	2	4	5	10	0	7	9	1	26	26	26	scarab	scarab	10	15	14	13				75	80	84	50	50	50	11	11	11	35	45	55	20	24	28																		0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	1		Jab	seq_scarabjab	1																						100	75	50	-50	-40	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	2				15	15	15		40	100	72	22	30	125	66	25	105	75	0	0	0	40	100	72	22	30	125	66	25	105	75	0	0	0	40	100	72	22	30	125	66	25	105	75	0	0	0	A1	ltng	100	20	40	0	100	20	40	0	100	20	40	0																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
scarab2	92	scarab2		1	SandWarrior	scarab2		scarab	Scarab		SC  	1							scarab2		1	1	3	4	6	12	0	8	10	1	32	32	32	scarab	scarab	10	15	14	13				80	85	88	60	60	60	10	10	10	45	55	65	20	24	28																		0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	1		Jab	seq_scarabjab	2																						100	75	50	-50	-40	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	3				17	17	17		40	100	73	23	30	125	67	25	105	76	0	0	0	40	100	73	23	30	125	67	25	105	76	0	0	0	40	100	73	23	30	125	67	25	105	76	0	0	0	A1	ltng	100	20	40	0	100	20	40	0	100	20	40	0																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
scarab3	93	scarab3		2	Scarab	scarab3		scarab	Scarab		SC  	1							scarab3		1	1	3	5	7	13	0	8	10	1	46	46	46	scarab	scarab	10	15	14	13				85	88	92	70	70	70	9	9	9	55	65	70	20	24	28																		0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	1		Jab	seq_scarabjab	3																						100	75	50	-50	-40	-25	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	100	0	0	4				17	17	17		40	100	75	28	30	125	70	25	105	80	0	0	0	40	100	75	28	30	125	70	25	105	80	0	0	0	40	100	75	28	30	125	70	25	105	80	0	0	0	A1	ltng	100	20	40	0	100	20	40	0	100	20	40	0																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
scarab4	94	scarab4		3	SteelWeevil	scarab4		scarab	Scarab		SC  	1							scarab4		1	1	4	5	8	15	0	9	11	1	58	58	58	scarab	scarab	10	15	14	13				88	91	94	75	75	75	8	8	8	65	70	75	20	24	28																		0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	1		Jab	seq_scarabjab	4																						100	75	50	-50	-40	-25	10	5	5	5	5	5	10	5	5	5	5	5	10	5	5	105	5	5	5				19	19	19		40	100	77	36	30	125	72	25	105	82	0	0	0	40	100	77	36	30	125	72	25	105	82	0	0	0	40	100	77	36	30	125	72	25	105	82	0	0	0	A1	ltng	100	20	40	0	100	20	40	0	100	20	40	0																													Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C				0	0	0	0	0
scarab5	95	scarab5		4	AlbinoRoach	scarab5		scarab	Scarab		SC  	1							scarab5		1	1	4	5	9	18	0	9	11	1	72	72	72	scarab	scarab	10	15	14	13				90	94	96	70	70	70	7	7	7	70	75	80	20	24	28																		0	0	1	1	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	1		Jab	seq_scarabjab	5																						100	75	50	-50	-40	-25	20	10	10	10	10	10	20	10	10	10	10	10	20	10	10	110	10	10	7				24	24	24		40	100	79	59	30	125	75	25	105	85	0	0	0	40	100	79	59	30	125	75	25	105	85	0	0	0	40	100	79	59	30	125	75	25	105	85	0	0	0	A1	ltng	100	20	40	0	100	20	40	0	100	20	40	0																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
mummy1	96	mummy1		0	DriedCorpse	mummy1		mummy	Mummy		MM  	1													5	10	0	6	8	1	19	19	19	mummy	mummy	10	15	14	13				10	15	20	60	60	60	100	100	100	65	65	65	8	8	8																		0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	66	33	-50	-40	-25	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2				14	14	14		55	120	71	30	30	80	65	0	0	0	0	0	0	55	120	71	30	30	80	65	0	0	0	0	0	0	55	120	71	30	30	80	65	0	0	0	0	0	0	A1	pois	30	10	10	400	30	10	10	400	30	10	10	400																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
mummy2	97	mummy2		1	Decayed	mummy2		mummy	Mummy		MM  	1													6	12	0	6	8	1	22	22	22	mummy	mummy	10	15	14	13				13	17	21	50	50	50	100	100	100	60	60	60	8	8	8																		0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	66	33	-50	-40	-25	0	0	0	0	0	70	0	0	0	0	0	80	0	0	0	0	0	100	2				16	16	16		55	120	72	34	30	80	66	0	0	0	0	0	0	55	120	72	34	30	80	66	0	0	0	0	0	0	55	120	72	34	30	80	66	0	0	0	0	0	0	A1	pois	30	10	10	500	30	10	10	500	30	10	10	500																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
mummy3	98	mummy3		2	Embalmed	mummy3		mummy	Mummy		MM  	1													7	13	0	6	8	1	31	31	31	mummy	mummy	10	15	14	13				16	19	22	30	30	30	100	100	100	50	50	50	8	8	8																		0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	66	33	-50	-40	-25	5	0	0	0	0	70	5	0	0	0	0	80	5	0	0	0	0	100	2				18	18	18		55	120	74	47	30	80	69	0	0	0	0	0	0	55	120	74	47	30	80	69	0	0	0	0	0	0	55	120	74	47	30	80	69	0	0	0	0	0	0	A1	pois	30	10	10	600	30	10	10	600	30	10	10	600																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
mummy4	99	mummy4		3	PreservedDead	mummy4		mummy	Mummy		MM  	1													8	15	0	6	8	1	41	41	41	mummy	mummy	10	15	14	13				19	21	23	40	40	40	100	100	100	55	55	55	8	8	8																		0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	66	33	-50	-40	-25	10	5	5	5	5	75	10	5	5	5	5	85	10	5	5	5	5	105	2				23	23	23		55	120	75	77	30	80	70	0	0	0	0	0	0	55	120	75	77	30	80	70	0	0	0	0	0	0	55	120	75	77	30	80	70	0	0	0	0	0	0	A1	pois	30	10	10	700	30	10	10	700	30	10	10	700																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
mummy5	100	mummy5		4	Cadaver	mummy5		mummy	Mummy		MM  	1													9	17	0	6	8	1	48	48	48	mummy	mummy	10	15	14	13				22	23	24	50	50	50	100	100	100	55	55	55	8	8	8																		0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	66	33	-50	-40	-25	20	10	10	10	10	80	20	10	10	10	10	90	20	10	10	10	10	110	3				25	25	25		55	120	77	121	30	80	73	0	0	0	0	0	0	55	120	77	121	30	80	73	0	0	0	0	0	0	55	120	77	121	30	80	73	0	0	0	0	0	0	A1	pois	30	10	10	800	30	10	10	800	30	10	10	800																													Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C				0	0	0	0	0
unraveler1	101	unraveler1		0	HollowOne	unraveler1		unraveler	GreaterMummy	raises undead	GY  	1							skeleton2				2	8	3	5	0	5	7	1	22	22	22	unraveler	unraveler	15	15	14	13				70	70	70	30	35	40	40	45	50	60	70	80	24	27	31											mummy1							1	0	1	0	0	0	1	0	0	1	0	0	1	0		1	1			0	0	0	0	0		Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	1																100	66	33	-50	-33	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	100	2			1		15	33		105	205	72	52	60	120	66	0	0	80	0	0	0	105	205	72	52	60	120	66	0	0	80	0	0	0	105	205	72	52	60	120	66	0	0	80	0	0	0	A1	pois	20	25	25	800	20	25	25	800	20	25	25	800	A2	pois	100	30	30	100	100	30	30	100	100	30	30	100															Act 2 Cast A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) Cast A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) Cast A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
unraveler2	102	unraveler2		1	Guardian	unraveler2		unraveler	GreaterMummy	raises undead	GY  	1							skeleton3				2	8	3	5	0	5	7	1	26	26	26	unraveler	unraveler	15	15	14	13				75	75	75	35	40	45	45	50	50	70	75	85	24	27	31											mummy2							1	0	1	0	0	0	1	0	0	1	0	0	1	0		1	1			0	0	0	0	0		Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	2																100	66	33	-50	-33	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	100	0	0	0	100	2			1		15	33		105	205	72	59	60	120	66	0	0	80	0	0	0	105	205	72	59	60	120	66	0	0	80	0	0	0	105	205	72	59	60	120	66	0	0	80	0	0	0	A1	pois	20	25	25	900	20	25	25	900	20	25	25	900	A2	pois	100	30	30	150	100	30	30	150	100	30	30	150															Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
unraveler3	103	unraveler3		2	Unraveler	unraveler3		unraveler	GreaterMummy	raises undead	GY  	1							skeleton4				2	8	3	5	0	6	8	1	33	33	33	unraveler	unraveler	15	15	14	13				80	80	80	40	45	50	50	55	50	80	85	90	24	27	31											mummy3							1	0	1	0	0	0	1	0	0	1	0	0	1	0		1	1			0	0	0	0	0		Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	3																100	66	33	-50	-33	-25	5	0	0	0	0	50	5	50	0	0	0	75	5	100	0	0	0	100	2			1		15	33		105	205	73	86	60	120	68	0	0	84	0	0	0	105	205	73	86	60	120	68	0	0	84	0	0	0	105	205	73	86	60	120	68	0	0	84	0	0	0	A1	pois	20	25	25	1000	20	25	25	1000	20	25	25	1000	A2	pois	100	30	30	200	100	30	30	200	100	30	30	200															Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C				0	0	0	0	0
unraveler4	104	unraveler4		3	Horadrim Ancient	unraveler4		unraveler	GreaterMummy	raises undead	GY  	1							skeleton5				2	8	3	5	0	7	9	1	41	41	41	unraveler	unraveler	15	15	14	13				85	85	85	45	50	55	55	55	55	85	85	90	24	27	31											mummy4							1	0	1	0	0	0	1	0	0	1	0	0	1	0		1	1			0	0	0	0	0		Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	4																100	66	33	-50	-33	-25	10	5	5	5	5	55	10	30	30	30	30	85	10	105	55	55	55	100	2			1		15	33		105	205	75	122	60	120	70	0	0	86	0	0	0	105	205	75	122	60	120	70	0	0	86	0	0	0	105	205	75	122	60	120	70	0	0	86	0	0	0	A1	pois	20	25	25	1100	20	25	25	1100	20	25	25	1100	A2	pois	100	30	30	250	100	30	30	250	100	30	30	250															Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
unraveler5	105	unraveler5		4	Baal Subject Mummy	unraveler5		unraveler	GreaterMummy	raises undead	GY  	1													3	5	0	8	10	1	75	75	75	unraveler	unraveler	15	15	14	13				85	85	85	45	50	55	55	55	55	85	90	95	24	27	31											mummy4							1	0	1	0	0	0	1	0	0	1	0	0	1	0		1	1			0	0	0	0	0		Resurrect2	seq_mummyres	1	Bestow	seq_mummyres	1	UnHolyBolt	seq_mummyres	5																100	66	33	-50	-33	-25	20	10	10	10	10	60	20	35	35	35	35	95	20	110	60	60	60	100	3			1		15	33		105	205	77	412	60	120	73	0	0	89	0	0	0	105	205	77	412	60	120	73	0	0	89	0	0	0	105	205	77	412	60	120	73	0	0	89	0	0	0	A1	pois	20	25	25	1200	20	25	25	1200	20	25	25	1200	A2	pois	100	30	30	300	100	30	30	300	100	30	30	300															Act 5 Cast B	Act 5 Champ B	Act 5 Unique B		Act 5 (N) Cast B	Act 5 (N) Champ B	Act 5 (N) Unique B		Act 5 (H) Cast B	Act 5 (H) Champ B	Act 5 (H) Unique B				0	0	0	0	0
chimera	106	chimera		0	Chimera	chimera			BloodHawk	Abomination	1N  	1													3	6	0	17	21	1	240	240	240			15	10	9	8				65	75	85	35	25	15	50	50	50	50	60	75	100	100	100										succubus yellow								1	0	1	1	0	0	1	0	0	0	0	1	0	0		1	1			0	0	0	0	0																													-15	-5	0	60	75	75	75	100	75	75	90	100	90	100	90	85	95	100	95	100	95	2								35	55	1500	7576	175	350	437	200	400	576	0	0	0	35	55	1500	7576	175	350	437	200	400	576	0	0	0	35	55	1500	7576	175	350	437	200	400	576	0	0	0	A1	rand	100	700	1400	800	100	700	1400	800	100	700	1400	800																													Chimera	Chimera	Chimera		Chimera (N)	Chimera (N)	Chimera (N)		Chimera (H)	Chimera (H)	Chimera (H)				0	0	0	0	0
evilbunny	107	evilbunny		1	Vorpal Bunny	evilbunny			Wraith	fluffy bunny	1L  	1													4	8	0	11	21	1	240	240	240			15	10	9	8				70	70	70	10	8	6	75	80	85																cr_arrow1								1	0	1	1	0	0	1	0	0	0	0	0	1	0		1	1			0	0	1	0	0		FingerMageSpider		50																						100	75	50	0	0	0	60	75	75	75	75	75	75	90	90	90	95	90	80	100	85	95	100	95	3								20	30	1200	1516	65	125	229	0	0	0	0	0	0	20	30	1200	1516	65	125	229	0	0	0	0	0	0	20	30	1200	1516	65	125	229	0	0	0	0	0	0	A1	rand	100	100	200	800	100	100	200	800	100	100	200	800																													Hellsprite	Hellsprite	Hellsprite		Hellsprite (N)	Hellsprite (N)	Hellsprite (N)		Hellsprite (H)	Hellsprite (H)	Hellsprite (H)				0	0	0	0	0
minidiablo	108	minidiablo		2	Diablito	minidiablo			Smith	Little Diablo	1J  	1													1	3	0	13	21	1	240	240	240			15	10	9	8																												Bighead1								1	0	1	1	0	0	1	0	0	0	0	1	1	0		1	0			0	0	0	0	0																										100	75	50	-10	0	0	60	75	100	75	100	75	75	95	100	95	100	95	85	95	100	95	100	95	2								35	70	1600	8081	200	650	715	0	0	0	0	0	0	35	70	1600	8081	200	650	715	0	0	0	0	0	0	35	70	1600	8081	200	650	715	0	0	0	0	0	0	A1	burn	100	2	3	800	100	2	3	800	100	2	3	800																													Voorlon	Voorlon	Voorlon		Voorlon (N)	Voorlon (N)	Voorlon (N)		Voorlon (H)	Voorlon (H)	Voorlon (H)				0	0	0	0	0
enchanter	109	enchanter		3	BlackMage	enchanter			WillOWisp	Evil Wizard	1H  	1													3	8	0	16	16	1	240	240	240			15	10	9	8				90	90	90	6	4	4	85	90	95																cr_arrow1						MonBoneSpirit		2	0	1	1	0	0	1	0	0	0	0	1	1	0		1	0			0	0	0	0	0		Bone Spirit		40																									-25	-15	0	30	80	50	80	50	75	40	90	75	100	75	75	48	100	95	100	98	95	3								15	25	800	1137	35	55	200	0	0	0	0	0	0	15	25	800	1137	35	55	200	0	0	0	0	0	0	15	25	800	1137	35	55	200	0	0	0	0	0	0	A1	rand	100	40	160	400	100	40	160	400	100	40	160	400																													Act 4 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 4 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 4 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	1	1	0
vulture1	110	vulture1		0	CarrionBird	vulture1		vulture	Vulture		VD  	1													4	10	0	7	9	1	20	20	20	vulture	vulture	10	15	14	13				70	75	80	8	8	8	75	65	50	20	20	20	40	40	40																		0	0	1	0	0	0	1	0	0	0	0	0	0	0		1	1			0	0	0	0	0																										100	100	100	-50	-40	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2				15	15	15		40	95	72	29	50	100	66	0	0	0	0	0	0	40	95	72	29	50	100	66	0	0	0	0	0	0	40	95	72	29	50	100	66	0	0	0	0	0	0																																											Swarm 1	Act 2 Champ A	Act 2 Unique A		Swarm 1 (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		Swarm 1 (H)	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	1	1	0
