Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Wrath	100	1	1	11	0	8			0	1	14	dmg-max	0	6	9		0	0	0		0	0	0	1	blac	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	0	0	0
of Carnage	100	1	1	25	0	18			0	1	14	dmg-max	0	11	15		0	0	0		0	0	0	1	blac	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	0	0	0
of Worth	1	1	1	1	0	1			0	1	15	dmg-min	0	1	2		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	staf	wand	orb 	0	0	0
of Measure	1	1	1	12	0	9			0	1	15	dmg-min	0	3	4		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	staf	wand	orb 	0	0	0
of Excellence	1	1	1	24	0	18			0	1	15	dmg-min	0	5	8		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	staf	wand	orb 	0	0	0
of Performance	1	1	1	48	0	40			0	1	15	dmg-min	0	9	14		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	staf	wand	orb 	0	0	0
of Transcendence	100	1	1	76	0	50			0	1	15	dmg-min	0	15	20		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	staf	wand	orb 	0	0	0
of Worth	1	1	1	15	0	11			0	1	15	dmg-min	0	2	3		0	0	0		0	0	0			ring	amul	circ	mboq	mxbq	    	    	    	    	    	0	0	0
of Measure	1	1	1	37	0	29			0	1	15	dmg-min	0	4	5		0	0	0		0	0	0			ring	amul	circ	mboq	mxbq	    	    	    	    	    	0	0	0
of Excellence	1	1	1	59	0	50			0	1	15	dmg-min	0	6	9		0	0	0		0	0	0			ring	amul	circ	mboq	mxbq	    	    	    	    	    	0	0	0
of Performance	100	1	1	81	0	50			0	1	15	dmg-min	0	10	13		0	0	0		0	0	0			ring	amul	circ	mboq	mxbq	    	    	    	    	    	0	0	0
of Joyfulness	100	1	1	5	0	3			0	1	15	dmg-min	0	1	4		0	0	0		0	0	0	1	whit	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	0	0	0
of Bliss	100	1	1	43	0	37			0	1	15	dmg-min	0	5	10		0	0	0		0	0	0	1	whit	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	0	0	0
of Blight	1	1	1	5	0	3			0	1	16	dmg-pois	75	24	24		0	0	0		0	0	0			weap	circ	mboq	mxbq	bopq	xbpq	    	rod 	orb 	    	0	0	0
of Venom	1	1	1	15	0	11			0	1	16	dmg-pois	100	54	54		0	0	0		0	0	0			weap	circ	mboq	mxbq	bopq	xbpq	    	rod 	orb 	    	0	0	0
of Pestilence	1	1	1	25	0	18			0	1	16	dmg-pois	125	103	103		0	0	0		0	0	0	1	dgrn	weap	circ	mboq	mxbq	bopq	xbpq	    	rod 	orb 	    	0	0	0
of Anthrax	100	1	1	33	0	25			0	1	16	dmg-pois	150	171	171		0	0	0		0	0	0	1	dgrn	weap	mboq	mxbq	bopq	xbpq	    	    	rod 	orb 	    	0	0	0
of Blight	100	1	1	45	0	33			0	1	16	dmg-pois	75	171	171		0	0	0		0	0	0			ring	amul	mboq	mxbq	    	    	    	    	    	    	0	0	0
of Envy	100	1	1	1	0	1			0	1	16	dmg-pois	50	103	103		0	0	0		0	0	0	1	dgrn	jewl	mboq	mxbq	ncha	ocha	wcha	kcha	    	    	    	0	0	0
of Blight	100	1	1	1	0	1			0	1	16	dmg-pois	75	21	21		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Venom	100	1	1	6	0	4			0	1	16	dmg-pois	100	39	39		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Pestilence	100	1	1	14	0	10			0	1	16	dmg-pois	125	52	52		0	0	0		0	0	0	1	dgrn	lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Anthrax	100	1	1	21	0	15			0	1	16	dmg-pois	150	86	86		0	0	0		0	0	0	1	dgrn	lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Blight	100	1	1	5	0	3			0	1	16	dmg-pois	75	21	21		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Venom	100	1	1	13	0	9			0	1	16	dmg-pois	100	39	39		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Pestilence	100	1	1	23	0	17			0	1	16	dmg-pois	125	52	52		0	0	0		0	0	0	1	dgrn	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Anthrax	100	1	1	33	0	25			0	1	16	dmg-pois	150	86	86		0	0	0		0	0	0	1	dgrn	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Blight	100	1	1	9	0	6			0	1	16	dmg-pois	75	21	21		0	0	0		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Venom	100	1	1	20	0	15			0	1	16	dmg-pois	100	39	39		0	0	0		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Pestilence	100	1	1	32	0	24			0	1	16	dmg-pois	125	52	52		0	0	0		0	0	0	1	dgrn	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Anthrax	100	1	1	44	0	36			0	1	16	dmg-pois	150	86	86		0	0	0		0	0	0	1	dgrn	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Dexterity	1	1	1	1	0	1			0	1	17	dex	0	1	2		0	0	0		0	0	0			amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Skill	1	1	1	11	0	8			0	1	17	dex	0	3	5		0	0	0		0	0	0			amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Accuracy	1	1	1	27	0	20			0	1	17	dex	0	6	9		0	0	0		0	0	0			amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Precision	1	1	1	43	0	35			0	1	17	dex	0	10	15		0	0	0		0	0	0			amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Perfection	1	1	1	59	0	50			0	1	17	dex	0	16	20		0	0	0		0	0	0	1	dgld	amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Nirvana	100	1	1	72	0	50			0	1	17	dex	0	21	30		0	0	0		0	0	0	1	dgld	amul	miss	circ	    	    	    	    	    	    	    	0	0	0
of Dexterity	1	1	1	1	10	1			0	1	17	dex	0	1	1		0	0	0		0	0	0			boot	glov	ring	    	    	    	    	    	    	    	0	0	0
of Dexterity	1	1	1	6	0	4			0	1	17	dex	0	1	2		0	0	0		0	0	0			ring	glov	    	    	    	    	    	    	    	    	0	0	0
of Skill	1	1	1	22	0	16			0	1	17	dex	0	3	5		0	0	0		0	0	0			ring	glov	    	    	    	    	    	    	    	    	0	0	0
of Accuracy	1	1	1	39	0	31			0	1	17	dex	0	6	9		0	0	0		0	0	0			ring	glov	    	    	    	    	    	    	    	    	0	0	0
of Precision	1	1	1	56	0	48			0	1	17	dex	0	10	15		0	0	0		0	0	0			ring	glov	    	    	    	    	    	    	    	    	0	0	0
of Perfection	100	1	1	75	0	50			0	1	17	dex	0	16	20		0	0	0		0	0	0	1	dgld	ring	glov	    	    	    	    	    	    	    	    	0	0	0
of Dexterity	1	1	1	13	0	9			0	1	17	dex	0	2	3		0	0	0		0	0	0			tors	boot	    	    	    	    	    	glov	    	    	0	0	0
of Skill	1	1	1	34	0	26			0	1	17	dex	0	4	5		0	0	0		0	0	0			tors	boot	    	    	    	    	    	glov	    	    	0	0	0
of Accuracy	1	1	1	46	0	38			0	1	17	dex	0	6	9		0	0	0		0	0	0			tors	boot	    	    	    	    	    	glov	    	    	0	0	0
of Precision	100	1	1	60	0	50			0	1	17	dex	0	10	15		0	0	0		0	0	0	1	dgld	tors	boot	    	    	    	    	    	glov	    	    	0	0	0
of Daring	100	1	1	7	0	5			0	1	17	dex	0	1	3		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Daring	100	1	1	19	0	14			0	1	17	dex	0	4	6		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of Daring	100	1	1	36	0	28			0	1	17	dex	0	7	9		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of Dexterity	100	1	1	1	0	1			0	1	17	dex	0	3	4		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Dexterity	100	1	1	3	0	2			0	1	17	dex	0	2	3		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Dexterity	100	1	1	7	0	5			0	1	17	dex	0	1	1		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Dexterity	100	1	1	14	0	10			0	1	17	dex	0	5	6		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Dexterity	100	1	1	18	0	13			0	1	17	dex	0	4	5		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Dexterity	100	1	1	22	0	16			0	1	17	dex	0	2	2		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Balance	1	1	1	5	0	3			0	1	18	balance1	0	10	10		0	0	0		0	0	0			armo	    	    	    	    	    	    	glov	    	    	0	0	0
of Equilibrium	1	1	1	9	0	6			0	1	18	balance2	0	17	17		0	0	0		0	0	0			tors	belt	shld	    	    	    	    	    	    	    	0	0	0
of Stability	1	1	1	18	0	13			0	1	18	balance3	0	24	24		0	0	0		0	0	0	1	dyel	tors	belt	    	    	    	    	    	    	    	    	0	0	0
of Balance	100	1	1	1	0	1			0	1	18	balance3	0	12	12		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Balance	100	1	1	19	0	14			0	1	18	balance2	0	8	8		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Balance	100	1	1	37	0	29			0	1	18	balance1	0	5	5		0	0	0		0	0	0	1	dyel	scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Truth	100	1	1	44	0	36			0	1	18	balance1	0	7	7		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Regeneration	1	1	1	1	9	1			0	1	19	regen	0	2	2		0	0	0		0	0	0			amul	circ	    	    	    	    	    	    	    	    	0	0	0
of Regeneration	1	1	1	10	0	7			0	1	19	regen	0	3	5		0	0	0		0	0	0			scep	belt	ring	amul	circ	    	    	    	    	    	0	0	0
of Regeneration	1	1	1	40	0	30			0	1	19	regen	0	3	5		0	0	0		0	0	0			shld	glov	    	    	    	    	    	    	    	    	0	0	0
of Regeneration	1	1	1	70	0	52			0	1	19	regen	0	3	5		0	0	0		0	0	0			tors	weap	boot	    	    	    	    	scep	    	    	0	0	0
of Regrowth	1	1	1	17	0	12			0	1	19	regen	0	6	10		0	0	0		0	0	0	1	cred	scep	amul	circ	    	    	    	    	    	    	    	0	0	0
of Regrowth	1	1	1	55	0	41			0	1	19	regen	0	6	9		0	0	0		0	0	0	1	cred	belt	ring	    	    	    	    	    	    	    	    	0	0	0
of Revivification	100	1	1	38	0	30			0	1	19	regen	0	11	15		0	0	0		0	0	0	1	cred	scep	amul	circ	    	    	    	    	    	    	    	0	0	0
of Honor	100	1	1	47	0	35			0	1	19	regen	0	1	4		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
of Vileness	1	1	1	9	0	6			0	1	20	noheal	0	1	1		0	0	0		0	0	0			mele	    	    	    	    	    	    	rod 	orb 	    	0	0	0
of Greed	1	1	1	1	0	1			0	1	21	gold%	0	25	40		0	0	0		0	0	0			ring	amul	circ	    	    	    	    	    	    	    	0	0	0
of Wealth	1	1	1	17	0	12			0	1	21	gold%	0	41	80		0	0	0		0	0	0	1	lgld	boot	glov	belt	amul	circ	    	    	    	    	    	0	0	0
of Greed	100	1	1	1	0	1			0	1	21	gold%	0	10	20		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Greed	100	1	1	7	0	5			0	1	21	gold%	0	21	30		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Greed	100	1	1	19	0	14			0	1	21	gold%	0	31	40		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Greed	100	1	1	1	0	5			0	1	21	gold%	0	5	10		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Greed	100	1	1	20	0	15			0	1	21	gold%	0	11	22		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Greed	100	1	1	1	0	15			0	1	21	gold%	0	5	10		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Avarice	100	1	1	1	0	1			0	1	21	gold%	0	10	30		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Chance	1	1	1	12	0	9			0	1	22	mag%	0	5	15		0	0	0		0	0	0			boot	glov	ring	amul	circ	    	    	    	    	    	0	0	0
of Fortune	1	1	1	16	0	12			0	1	22	mag%	0	16	25		0	0	0		0	0	0	1	lgld	boot	glov	amul	circ	    	    	    	    	    	    	0	0	0
of Fortune	1	1	1	42	0	31			0	1	22	mag%	0	16	25		0	0	0		0	0	0	1	lgld	ring	    	    	    	    	    	    	    	    	    	0	0	0
of Luck	100	1	1	26	0	19			0	1	22	mag%	0	26	35		0	0	0		0	0	0	1	lgld	boot	amul	circ	    	    	    	    	    	    	    	0	0	0
of Fortune	100	1	1	31	0	18			0	1	22	mag%	0	3	5		0	0	0		0	0	0			scha	tcha	wcha	ocha	rcha	kcha	    	    	    	    	0	0	0
of Good Luck	100	1	1	47	0	33			0	1	22	mag%	0	6	7		0	0	0		0	0	0			scha	tcha	wcha	ocha	rcha	kcha	    	    	    	    	0	0	0
of Prosperity	100	1	1	26	0	19			0	1	22	mag%	0	5	10		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Energy	1	1	1	1	4	1			0	1	23	enr	0	1	1		0	0	0		0	0	0			amul	orb 	circ	wand	staf	helm	ring	    	    	    	0	0	0
of Energy	1	1	1	1	0	1			0	1	23	enr	0	1	3		0	0	0		0	0	0			amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of the Mind	1	1	1	7	0	3			0	1	23	enr	0	4	6		0	0	0		0	0	0			amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of Brilliance	1	1	1	13	0	9			0	1	23	enr	0	7	10		0	0	0		0	0	0			amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of Sorcery	1	1	1	21	0	16			0	1	23	enr	0	11	15		0	0	0		0	0	0			amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of Wizardry	1	1	1	31	0	23			0	1	23	enr	0	16	20		0	0	0		0	0	0	1	dgld	amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of Enlightenment	100	1	1	41	0	33			0	1	23	enr	0	21	30		0	0	0		0	0	0	1	dgld	amul	orb 	circ	wand	staf	rcha	    	    	    	    	0	0	0
of Energy	1	1	1	7	0	5			0	1	23	enr	0	1	3		0	0	0		0	0	0			ring	    	    	    	    	    	    	    	    	    	0	0	0
of the Mind	1	1	1	13	0	9			0	1	23	enr	0	4	6		0	0	0		0	0	0			ring	    	    	    	    	    	    	    	    	    	0	0	0
of Brilliance	1	1	1	21	0	16			0	1	23	enr	0	7	10		0	0	0		0	0	0			ring	    	    	    	    	    	    	    	    	    	0	0	0
of Sorcery	1	1	1	31	0	23			0	1	23	enr	0	11	15		0	0	0		0	0	0			ring	    	    	    	    	    	    	    	    	    	0	0	0
of Wizardry	100	1	1	41	0	33			0	1	23	enr	0	16	20		0	0	0		0	0	0	1	dgld	ring	    	    	    	    	    	    	    	    	    	0	0	0
of Energy	1	1	1	4	0	3			0	1	23	enr	0	1	3		0	0	0		0	0	0			helm	scep	    	    	    	    	    	    	    	    	0	0	0
of the Mind	1	1	1	10	0	7			0	1	23	enr	0	4	6		0	0	0		0	0	0			helm	scep	    	    	    	    	    	    	    	    	0	0	0
of Brilliance	1	1	1	16	0	12			0	1	23	enr	0	7	10		0	0	0		0	0	0			helm	scep	    	    	    	    	    	    	    	    	0	0	0
of Sorcery	100	1	1	26	0	21			0	1	23	enr	0	11	15		0	0	0		0	0	0	1	dgld	helm	scep	    	    	    	    	    	    	    	    	0	0	0
of Knowledge	100	1	1	9	0	6			0	1	23	enr	0	1	5		0	0	0		0	0	0			jewl	ncha	kcha	    	    	    	    	    	    	    	0	0	0
of Knowledge	100	1	1	24	0	18			0	1	23	enr	0	4	6		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of Knowledge	100	1	1	41	0	33			0	1	23	enr	0	7	9		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of the Bear	1	1	1	8	0	6			0	1	24	knock	0	1	1		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Light	1	1	1	6	0	4			0	1	25	light	0	1	1	att	0	20	20		0	0	0			armo	rod 	ring	amul	    	    	    	    	    	    	0	0	0
of Radiance	1	1	1	15	0	11			0	1	25	light	0	3	3	att	0	50	50		0	0	0			rod 	miss	ring	amul	helm	    	    	    	    	    	0	0	0
of the Sun	1	1	1	17	0	12			0	1	25	light	0	5	5	att%	0	5	5		0	0	0			rod 	miss	glov	ring	amul	helm	    	    	    	    	0	0	0
of the Jackal	1	1	1	1	0	1			0	1	26	hp	0	1	5		0	0	0		0	0	0			tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Fox	1	1	1	7	0	5			0	1	26	hp	0	6	10		0	0	0		0	0	0			tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Wolf	1	1	1	15	0	11			0	1	26	hp	0	11	20		0	0	0		0	0	0			tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Tiger	1	1	1	20	0	15			0	1	26	hp	0	21	30		0	0	0		0	0	0			tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Mammoth	1	1	1	25	0	18			0	1	26	hp	0	31	40		0	0	0		0	0	0	1	cred	tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Colosuss	1	1	1	30	0	22			0	1	26	hp	0	41	60		0	0	0		0	0	0	1	cred	tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Squid	100	1	1	40	0	30			0	1	26	hp	0	61	80		0	0	0		0	0	0	1	cred	tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Whale	100	1	1	50	0	37			0	1	26	hp	0	81	100		0	0	0		0	0	0	1	cred	tors	belt	amul	phlm	circ	    	    	    	    	    	0	0	0
of the Jackal	100	1	1	4	0	3			0	1	26	hp	0	1	5		0	0	0		0	0	0			shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Fox	100	1	1	11	0	8			0	1	26	hp	0	6	10		0	0	0		0	0	0			shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Wolf	100	1	1	27	0	20			0	1	26	hp	0	11	20		0	0	0		0	0	0			shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Tiger	100	1	1	43	0	35			0	1	26	hp	0	21	30		0	0	0		0	0	0			shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Mammoth	100	1	1	59	0	50			0	1	26	hp	0	31	40		0	0	0		0	0	0	1	cred	shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Colosuss	100	1	1	75	0	50			0	1	26	hp	0	41	60		0	0	0		0	0	0	1	cred	shld	pelt	    	    	    	    	    	    	    	    	0	0	0
of the Jackal	1	1	1	8	0	6			0	1	26	hp	0	1	5		0	0	0		0	0	0			club	hamm	mace	ring	helm	    	    	    	    	    	0	0	0
of the Fox	1	1	1	17	0	13			0	1	26	hp	0	6	10		0	0	0		0	0	0			club	hamm	mace	ring	helm	    	    	    	    	    	0	0	0
of the Wolf	1	1	1	34	0	26			0	1	26	hp	0	11	20		0	0	0		0	0	0			club	hamm	mace	ring	helm	    	    	    	    	    	0	0	0
of the Tiger	1	1	1	51	0	43			0	1	26	hp	0	21	30		0	0	0		0	0	0			club	hamm	mace	ring	helm	    	    	    	    	    	0	0	0
of the Mammoth	1	1	1	68	0	50			0	1	26	hp	0	31	40		0	0	0		0	0	0	1	cred	club	hamm	mace	ring	helm	    	    	    	    	    	0	0	0
of Life	100	1	1	1	0	1			0	1	26	hp	0	5	10		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Life	100	1	1	9	0	6			0	1	26	hp	0	11	15		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Life	100	1	1	19	0	14			0	1	26	hp	0	16	20		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Substinence	100	1	1	31	0	23			0	1	26	hp	0	21	25		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Substinence	100	1	1	45	0	37			0	1	26	hp	0	26	30		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Substinence	100	1	1	61	0	50			0	1	26	hp	0	31	35		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Vita	100	1	1	77	0	50			0	1	26	hp	0	36	40		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Vita	100	1	1	91	0	50			0	1	26	hp	0	41	45		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Vita	100	1	1	110	0	50			0	1	26	hp	0	46	50		0	0	0		0	0	0			lcha	qcha	ncha	ocha	wcha	rcha	kcha	    	    	    	0	0	0
of Life	100	1	1	1	0	9			0	1	26	hp	0	6	10		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Life	100	1	1	12	0	9			0	1	26	hp	0	11	15		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Substinence	100	1	1	26	0	19			0	1	26	hp	0	16	20		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Substinence	100	1	1	42	0	34			0	1	26	hp	0	21	25		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Vita	100	1	1	58	0	50			0	1	26	hp	0	26	30		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Vita	100	1	1	74	0	50			0	1	26	hp	0	31	35		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Life	100	1	1	1	0	14			0	1	26	hp	0	5	10		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Substinence	100	1	1	23	0	17			0	1	26	hp	0	11	15		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Vita	100	1	1	47	0	39			0	1	26	hp	0	16	20		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Spirit	100	1	1	1	0	1			0	1	26	hp	0	3	8		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Hope	100	1	1	45	0	37			0	1	26	hp	0	9	20		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of the Leech	1	1	1	6	0	4			0	1	27	lifesteal	0	4	5		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	orb 	    	    	0	0	0
of the Locust	1	1	1	20	0	15			0	1	27	lifesteal	0	6	7		0	0	0		0	0	0	1	cred	mele	mboq	mxbq	    	    	    	    	orb 	    	    	0	0	0
of the Lamprey	100	1	1	55	0	43			0	1	27	lifesteal	0	8	9		0	0	0		0	0	0	1	cred	mele	mboq	mxbq	    	    	    	    	orb 	    	    	0	0	0
of the Leech	1	1	1	14	0	10			0	1	27	lifesteal	0	3	4		0	0	0		0	0	0			ring	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Locust	1	1	1	47	0	35			0	1	27	lifesteal	0	5	6		0	0	0		0	0	0			ring	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Lamprey	100	1	1	77	0	50			0	1	27	lifesteal	0	7	8		0	0	0		0	0	0	1	cred	ring	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Leech	1	1	1	34	0	26			0	1	27	lifesteal	0	3	3		0	0	0		0	0	0	1	cred	glov	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of the Bat	1	1	1	7	0	4			0	1	28	manasteal	0	4	5		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of the Wraith	1	1	1	21	0	16			0	1	28	manasteal	0	6	7		0	0	0		0	0	0	1	cred	mele	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of the Vampire	100	1	1	56	0	48			0	1	28	manasteal	0	8	9		0	0	0		0	0	0	1	cred	mele	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of the Bat	1	1	1	15	0	11			0	1	28	manasteal	0	3	4		0	0	0		0	0	0			amul	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Wraith	1	1	1	58	0	40			0	1	28	manasteal	0	5	6		0	0	0		0	0	0			amul	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Vampire	100	1	1	78	0	50			0	1	28	manasteal	0	7	8		0	0	0		0	0	0	1	cred	amul	circ	mboq	mxbq	    	    	    	    	    	    	0	0	0
of the Bat	1	1	1	35	0	27			0	1	28	manasteal	0	3	3		0	0	0		0	0	0	1	cred	glov	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Defiance	1	1	1	25	0	18			0	1	29	res-pois-len	0	75	75		0	0	0		0	0	0	1	dred	tors	shld	amul	circ	    	    	    	    	    	    	0	0	0
of Amelioration	1	1	1	18	0	13			0	1	29	res-pois-len	0	50	50		0	0	0		0	0	0			tors	shld	amul	circ	    	    	    	    	    	    	0	0	0
of Remedy	100	1	1	7	0	5			0	1	29	res-pois-len	0	25	25		0	0	0		0	0	0			armo	ring	amul	circ	    	    	    	    	    	    	0	0	0
of Simplicity	1	1	1	25	0	18			0	1	30	ease	0	-300	-300	ease-string	0	-30	-30		0	0	0			tors	weap	shld	    	    	    	    	rod 	orb 	    	0	0	0
