skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Weaken	72	nec	weaken		30																3		weaken	ln34	ln12	damagepercent	0-par5																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast		(skill('Weaken'.blvl) < 100) ? (skill('Weaken'.blvl)/50+1) : ((skill('Weaken'.blvl)-50)/25+1)	40	250					Amplify Damage														1	6	8	1	1																		15	radius	0	radius per level	100	duration	5	additional duration/level	33	% damage target can do							1								8																																				96	375
Poison Dagger	73	nec	poison dagger	16	32																																																																																																								1	4		h2h		knif										A1	A1	xx						1	1								1										(skill('Poison Dagger'.blvl) < 100) ? (skill('Poison Dagger'.blvl)/50+1) : ((skill('Poison Dagger'.blvl)-50)/25+1)	25	250													1						1	7	12	1	1																																100	damage synergy	1	30	20						4	128														pois	6	3	6	9	12	15	12	3	6	9	12	15	(skill('Poison Explosion'.blvl) + skill('Poison Nova'.blvl)) * par8 / 250	50							96	375
Corpse Explosion	74	nec	corpse explosion	17	55																				par3+lvl/par4																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast		(skill('Corpse Explosion'.blvl) < 100) ? (skill('Corpse Explosion'.blvl)/50+1) : ((skill('Corpse Explosion'.blvl)-50)/25+1)	40	250					Teeth														1	8	15	1	1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental			20	% of base monster HP min damage	60	% of base monster HP max damage	2	radius (half squares)	5	additional radius per N level (half squares)	50	% damage to do as elemental							1								8															fire																					96	375
Clay Golem	75	nec	clay golem		56																					magicresist	"min(85, skill('Summon Resist'.ln12))"	item_slow	"min(par4, par3 + lvl/3)"									damagedinmelee	27									velocitypercent	"min(skill('Golem Mastery'.par4), skill('Golem Mastery'.par3) + skill('Golem Mastery'.lvl))"	tohit	skill('Golem Mastery'.ln56) + (lvl * par8)	armorclass	skill('IronGolem'.blvl) * skill('IronGolem'.par8) 	damagepercent	par2 * (lvl - 1) + skill('FireGolem'.blvl) * skill('FireGolem'.par8)					ClayGolem	golem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	S1					4																				(skill('Clay Golem'.blvl) < 100) ? (skill('Clay Golem'.blvl)/50+1) : ((skill('Clay Golem'.blvl)-50)/25+1)	35	250																			1	8	10	2	1	1									skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl) * skill('BloodGolem'.par8)	hp % adjustment							0	% HP bonus per level	20	% Damage bonus per level	0	slow effect min	75	slow effect max							25	clay golem attack synergy	1								8															mag	5	10	20	30	40	50	30	10	20	30	40	50									96	375
Iron Maiden	76	nec	iron maiden		30																3		ironmaiden	ln34	ln12													domeleedamage	4																																						necromancer_curse_cast														18	30					curseironmaiden		cursecast										1	9		none												SC	SC	S2					4												1								(skill('Iron Maiden'.blvl) < 100) ? (skill('Iron Maiden'.blvl)/50+1) : ((skill('Iron Maiden'.blvl)-50)/25+1)	60	250					Amplify Damage														1	7	12	1	1										ln56	% damage to return	ln56/4	% damage to return vs. players	ln56/4	% damage to return other			8	radius	0	radius per level	150	duration	5	additional duration/level	200	% damage returned to accursed	10	% additional returned/level					1				16385		141		8																																				128	1000
Terror	77	nec	terror		30																2		terror	ln34	ln12																																																				necromancer_curse_cast														18	30					curseterror		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast		(skill('Terror'.blvl) < 100) ? (skill('Terror'.blvl)/50+1) : ((skill('Terror'.blvl)-50)/25+1)	50	250					Weaken														1	7	14	1	1																		6	radius	0	radius per level	100	duration	5	additional duration/level	24	Distance to run	2	Distance per level					1								8																																				128	1000
Bone Wall	78	nec	bone wall		60												bonewallmaker																																											bonewall	none		S1														necromancer_bone_cast														22																		1	0		none												SC	SC	xx					4												1						necromancer_bone_cast		(skill('Bone Wall'.blvl) < 100) ? (skill('Bone Wall'.blvl)/50+1) : ((skill('Bone Wall'.blvl)-50)/25+1)	50	250					Bone Armor														1	7	18	1	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl) + skill('Bone Prison'.blvl)) * par8)	hp % adjustment	par34	# of walls - 1					10	% additional HP per level	600	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"							2	life synergy	1								8																																				128	1000
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																															1	0		none												SC	SC	xx																									(skill('Golem Mastery'.blvl) < 100) ? (skill('Golem Mastery'.blvl)/50+1) : ((skill('Golem Mastery'.blvl)-50)/25+1)	55	250					Clay Golem								1						0	8	0	0	1						1												10	% HP bonus	3	% HP bonus per level	0	min velocity increase	80	max velocity increase	50	to hit	50	to hit/lvl					1								8																																				128	1000
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																					magicresist	"min(85, skill('Summon Resist'.ln12))"	armorclass	(lvl + skill('Skeleton Mastery'.lvl)) * par5 + 50																			maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * (100 + clc1) * 256 / 100											necromage	skeletonmage	"min(30, (lvl < 8) ? ((lvl + 1) / 2) : (4+lvl/10))"	S1	NecromageMissile	lvl + skill('Skeleton Mastery'.lvl) / 2											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1														(skill('Raise Skeletal Mage'.blvl) < 100) ? (skill('Raise Skeletal Mage'.blvl)/50+1) : ((skill('Raise Skeletal Mage'.blvl)-50)/25+1)	60	250					Raise Skeleton														1	8	8	3	1										(lvl < 6) ? 0 : (par2 * (lvl - 5))	hp % adjustment									5	hp%/lvl					5	ac/lvl							1								8																																				128	1000
Confuse	81	nec	confuse		61																2		confuse	ln34	ln12																																																				necromancer_curse_cast														18	30					curseconfuse		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast		(skill('Confuse'.blvl) < 100) ? (skill('Confuse'.blvl)/50+1) : ((skill('Confuse'.blvl)-50)/25+1)	70	250					Dim Vision														1	7	20	1	1																		15	radius	0	radius per level	125	duration	5	additional duration/level									1								8																																				160	2000
Life Tap	82	nec	life tap		30																3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast		(skill('Life Tap'.blvl) < 100) ? (skill('Life Tap'.blvl)/50+1) : ((skill('Life Tap'.blvl)-50)/25+1)	75	250					Iron Maiden														1	7	22	1	1										ln56	hp % returned							13	radius	0	radius per level	200	duration	5	additional duration/level	50	% damage healed	5	% additional heal/level					1								8																																				160	2000
Poison Explosion	83	nec	poison explosion	17	63												poisonexplosioncloud								ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33					poisoncorpseexplosion	poisonexplosioncloud	greenlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast		(skill('Poison Explosion'.blvl) < 100) ? (skill('Poison Explosion'.blvl)/50+1) : ((skill('Poison Explosion'.blvl)-50)/25+1)	70	250					Poison Dagger	Corpse Explosion													1	7	8	3	1																																100	damage synergy	1								4															pois	12	4	8	12	16	20	24	4	8	12	16	20	(skill('Poison Dagger'.blvl) + skill('Poison Nova'.blvl)) * par8 / 250	50							160	2000
Bone Spear	84	nec	bone spear											bonespear																																																															necromancer_bone_cast														19					bonespear			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast		(skill('Bone Spear'.blvl) < 100) ? (skill('Bone Spear'.blvl)/50+1) : ((skill('Bone Spear'.blvl)-50)/25+1)	80	250					Corpse Explosion								1						1	8	28	1	1																																40	damage synergy	1								8		12	18	36	54	72	90	72	18	36	54	72	90	stat(0.accr) / 4	mag	24	6	9	12	18	24	96	6	9	12	18	24	(skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl) + skill('Teeth'.blvl) + skill('Bone Spirit'.blvl)) * par8 / 250 + stat(357.accr)								160	2000
BloodGolem	85	nec	bloodgolem		56																					magicresist	"min(85, skill('Summon Resist'.ln12))"											domeleedamage	23	damagedinmelee	26	damagedbymissile	26					velocitypercent	"min(skill('Golem Mastery'.par4), skill('Golem Mastery'.par3) + skill('Golem Mastery'.lvl))"	tohit	skill('Golem Mastery'.ln56) + skill('Clay Golem'.blvl) * skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl) * skill('IronGolem'.par8)	damagepercent	par4 * (lvl - 1) + skill('FireGolem'.blvl) * skill('FireGolem'.par8)					BloodGolem	golem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	xx					4																				(skill('BloodGolem'.blvl) < 100) ? (skill('BloodGolem'.blvl)/50+1) : ((skill('BloodGolem'.blvl)-50)/25+1)	80	250					Clay Golem														1	8	16	4	1	1									skill('Golem Mastery'.ln12)	hp % adjustment							25	min % life stolen	150	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	10	% damage on golem xfered to caster	50	% caster healing xfered to golem			3	blood golem life synergy	1								8															mag	10	10	20	30	40	50	40	10	20	30	40	50									160	2000
Attract	86	nec	attract	18	59																2		attract	ln34	ln12																																																				necromancer_curse_cast														18	30					curseattract		cursecast										1	0		none												SC	SC	xx					4			1									1								(skill('Attract'.blvl) < 100) ? (skill('Attract'.blvl)/50+1) : ((skill('Attract'.blvl)-50)/25+1)	90	250					Confuse														1	7	30	2	1																		7	radius	0	radius per level	150	duration	5	additional duration/level									1								8																																				192	4000
Decrepify	87	nec	decrepify		30																3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast		(skill('Decrepify'.blvl) < 100) ? (skill('Decrepify'.blvl)/50+1) : ((skill('Decrepify'.blvl)-50)/25+1)	100	250					Terror														1	7	15	2	1																		8	radius	0	radius per level	50	duration	5	additional duration/level	-50	"% slowed, -dam, -dam resist"							1								8																																				192	4000
Bone Prison	88	nec	bone prison	19	62																																																							bonewall	none		NU														necromancer_bone_cast														22																		1	10		none												SC	SC	xx					4			1									1				1		necromancer_bone_cast		(skill('Bone Prison'.blvl) < 100) ? (skill('Bone Prison'.blvl)/50+1) : ((skill('Bone Prison'.blvl)-50)/25+1)	95	250					Bone Wall	Bone Spear													1	7	36	3	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl) + skill('Bone Wall'.blvl)) * par8)	hp % adjustment							10	% additional HP per level	600	MAX duration											2	life synergy	1								8																																				192	4000
Summon Resist	89	nec	summon resist																																											summonresist		passive_summon_resist	ln12																																																												1	6		none												SC	SC	xx																									(skill('Summon Resist'.blvl) < 100) ? (skill('Summon Resist'.blvl)/50+1) : ((skill('Summon Resist'.blvl)-50)/25+1)	90	250					Golem Mastery								1						1	8	60	-3	1						1												5	resist %	2	resist % per level													1								8																																				192	4000
IronGolem	90	nec	irongolem	20	57																	thorns				magicresist	"min(85, skill('Summon Resist'.ln12))"	thorns_percent	ln12																			velocitypercent	"min(skill('Golem Mastery'.par4), skill('Golem Mastery'.par3) + skill('Golem Mastery'.lvl))"	tohit	skill('Golem Mastery'.ln56) + skill('Clay Golem'.blvl) * skill('Clay Golem'.par8)	armorclass	lvl * par8	damagepercent	skill('FireGolem'.blvl) * skill('FireGolem'.par8)					IronGolem	golem	1	S1													1	necromancer_golem_cast														23																		1	5		none												SC	SC	xx					4			1						1											(skill('IronGolem'.blvl) < 100) ? (skill('IronGolem'.blvl)/50+1) : ((skill('IronGolem'.blvl)-50)/25+1)	100	250					BloodGolem														1	8	20	6	1	1									skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl) * skill('BloodGolem'.par8)	hp % adjustment							150	% thorns damage back (level 2)	15	% thorns damage back per level											10	iron golem armor synergy	1								8															mag	15	15	30	45	60	75	60	15	30	45	60	75									192	4000
Lower Resist	91	nec	lower resist		30																3		lowerresist	ln34	ln12	fireresist	"0-min(75, par5+lvl/par6)"	lightresist	"0-min(75, par5+lvl/par6)"	coldresist	"0-min(75, par5+lvl/par6)"	poisonresist	"0-min(75, par5+lvl/par6)"	magicresist	"0-min(75, par5+lvl/par6)"																																										necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast		(skill('Lower Resist'.blvl) < 100) ? (skill('Lower Resist'.blvl)/50+1) : ((skill('Lower Resist'.blvl)-50)/25+1)	110	250					Life Tap	Decrepify													1	7	30	3	1																		15	radius	0	radius per level	200	duration	5	additional duration/level	5	resist lower	5	resist lower per N levels					1								8																																				224	8000
Poison Nova	92	nec	poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast		(skill('Poison Nova'.blvl) < 100) ? (skill('Poison Nova'.blvl)/50+1) : ((skill('Poison Nova'.blvl)-50)/25+1)	110	250					Poison Explosion														1	8	40	5	1																																50	damage synergy	1								4															pois	50	10	20	30	40	50	60	10	20	30	40	50	(skill('Poison Dagger'.blvl) + skill('Poison Explosion'.blvl)) * par8 / 250	50							224	8000
Bone Spirit	93	nec	bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast		(skill('Bone Spirit'.blvl) < 100) ? (skill('Bone Spirit'.blvl)/50+1) : ((skill('Bone Spirit'.blvl)-50)/25+1)	120	250					Bone Spear							3	1						1	8	50	6	1										0	dmg%																					25	damage synergy	1								8		40	60	120	180	240	300	120	60	120	180	240	300	stat(0.accr) / 4	mag	80	80	160	240	320	400	240	80	160	240	320	400	(skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl) + skill('Teeth'.blvl) + skill('Bone Spear'.blvl)) * par8 / 250 + stat(357.accr)								224	8000
FireGolem	94	nec	firegolem		56																					magicresist	"min(85, skill('Summon Resist'.ln12))"	fireresist	200	firemindam	edmn	firemaxdam	edmx															velocitypercent	"min(skill('Golem Mastery'.par4), skill('Golem Mastery'.par3) + skill('Golem Mastery'.lvl))"	tohit	skill('Golem Mastery'.ln56) + skill('Clay Golem'.blvl) * skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl) * skill('IronGolem'.par8)							FireGolem	golem	1	S1	holy fire	"min(par5 + lvl/par6, 250)"												necromancer_golem_cast																																1	6		none												SC	SC	xx					4																				(skill('FireGolem'.blvl) < 100) ? (skill('FireGolem'.blvl)/50+1) : ((skill('FireGolem'.blvl)-50)/25+1)	115	250					IronGolem														1	8	30	9	1	1									skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl) * skill('BloodGolem'.par8)	hp % adjustment											100	% damage increase	20	% damage increase per level	5	Holy Fire Aura level	1	Holy Fire Aura level per N levels			3	fire golem damage synergy	1								8															fire	20	30	60	90	120	150	80	30	60	90	120	150									224	8000
Revive	95	nec	revive	21	58																					magicresist	"min(85, skill('Summon Resist'.ln12))"	damagepercent	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)																			velocitypercent	par5												revive	"min(30, (lvl < 11) ? ((lvl + 2) / 3) : (4+lvl/15))"	NU													1	necromancer_revive_cast								necromancer_revive_target						24						revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1														(skill('Revive'.blvl) < 100) ? (skill('Revive'.blvl)/50+1) : ((skill('Revive'.blvl)-50)/25+1)	120	250					Raise Skeletal Mage	IronGolem													1	8	40	5	1										par1+skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)	hp % adjustment	ln34	duration					150	additional hp percent			2000	Duration	25	additional duration/level	50	Velocity bonus for revived							1								8																																				224	8000
Sacrifice	96	pal	sacrifice	29	64																																																																								paladin_sacrifice		1													34					blood1				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1										(skill('Sacrifice'.blvl) < 100) ? (skill('Sacrifice'.blvl)/50+1) : ((skill('Sacrifice'.blvl)-50)/25+1)	15	250													1						0	8	0	0	1										ln12 + (skill('Redemption'.blvl) + skill('Fanaticism'.blvl)) * par8 / 250	damage %	par3	damage self %					150	Percent damage	15	percent damage per level	10	percent damage to self									125	damage synergy	1	20	5						8	128																																			64	125
Smite	97	pal	smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1										(skill('Smite'.blvl) < 100) ? (skill('Smite'.blvl)/50+1) : ((skill('Smite'.blvl)-50)/25+1)	10	250													1						1	8	2	0											ln34	damage %	"min(250,ln12)"	stunlen					20	Stun Length	2	additional frames/level	25	Percent bonus damage	25	percent damage per level									1								8																																				64	125
Might	98	pal	might		65																73731	might	might		ln12	damagepercent	ln34																																																																																	1	1	9		none														xx																									(skill('Might'.blvl) < 100) ? (skill('Might'.blvl)/50+1) : ((skill('Might'.blvl)-50)/25+1)	20	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	20	% additional damage	5	% additional damage/level									1								8																																				64	125
Prayer	99	pal	prayer		65																73731	prayer	prayer		ln12	hitpoints	edns																																																																																		1	7		none														xx																									(skill('Prayer'.blvl) < 100) ? (skill('Prayer'.blvl)/50+1) : ((skill('Prayer'.blvl)-50)/25+1)	5	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level													1								8																2	1	1	2	2	3															64	125
Resist Fire	100	pal	resist fire		65																73731	resistfire	resistfire		ln12	fireresist	ln34	maxfireresist	skill('Resist Fire'.blvl)/10																	passive_resistfire		maxfireresist	skill('Resist Fire'.blvl)/50																																																											1	1	8		none														xx																									(skill('Resist Fire'.blvl) < 100) ? (skill('Resist Fire'.blvl)/50+1) : ((skill('Resist Fire'.blvl)-50)/25+1)	20	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	30	min % resist	5	resist per level									1								8																																				64	125
Holy Bolt	101	pal	holy bolt											holybolt																																																															paladin_holybolt_cast											cast_undead								holybolt													1	7		none												SC	SC	xx												1	1				1						paladin_holybolt_cast	cast_undead	(skill('Holy Bolt'.blvl) < 100) ? (skill('Holy Bolt'.blvl)/50+1) : ((skill('Holy Bolt'.blvl)-50)/25+1)	35	250													1						1	6	20	3	1										ln12 * (100 + skill('Prayer'.blvl) * par7 / 250) / 100	min heal	ln34 * (100 + skill('Prayer'.blvl) * par7 / 250) / 100	max heal					100	min hitpoints healed	50	hitpoints healed per level	500	max hitpoints healed	50	hitpoints healed per level					100	heal synergy	50	damage synergy	1								8															mag	24	12	24	36	48	60	36	12	24	36	48	60	(skill('Blessed Hammer'.blvl) + skill('Fist of the Heavens'.blvl)) * par8 / 250 + stat(357.accr)								96	375
Holy Fire	102	pal	holy fire		66																42883	holyfire			ln12																							firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																										1	0		none														xx																									(skill('Holy Fire'.blvl) < 100) ? (skill('Holy Fire'.blvl)/50+1) : ((skill('Holy Fire'.blvl)-50)/25+1)	25	250					Might														0	8	0	0	1	1	1		25														15	radius	0	additional radius per level					3	damage to attack multiplier					50	damage synergy	1				16385				8															fire	12	3	6	9	13	18	24	3	6	9	13	18	(skill('Resist Fire'.blvl) + skill('Salvation'.blvl)) * par8 / 250								96	375
Thorns	103	pal	thorns		65																73731	thorns	thorns		ln12	item_attackertakesdamage	ln34	item_attackertakeslightdamage	ln34	item_thorns_percent	ln56																																																																														1	9		none														xx																									(skill('Thorns'.blvl) < 100) ? (skill('Thorns'.blvl)/50+1) : ((skill('Thorns'.blvl)-50)/25+1)	40	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	10	thorns damage	5	thorns damage / level	2	% thorns damage	1	% thorns damage / level					1								8																																				96	375
Defiance	104	pal	defiance		65																73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																	1	1	4		none														xx																									(skill('Defiance'.blvl) < 100) ? (skill('Defiance'.blvl)/50+1) : ((skill('Defiance'.blvl)-50)/25+1)	40	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	50	% additional AC	10	% additional AC/level	0	?	0	?					1								8																																				96	375
Resist Cold	105	pal	resist cold		65																73731	resistcold	resistcold		ln12	coldresist	ln34	maxcoldresist	skill('Resist Cold'.blvl)/10																	passive_resistcold		maxcoldresist	skill('Resist Cold'.blvl)/50																																																											1	1	6		none														xx																									(skill('Resist Cold'.blvl) < 100) ? (skill('Resist Cold'.blvl)/50+1) : ((skill('Resist Cold'.blvl)-50)/25+1)	30	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	30	min % resist	5	resist per level	0	?	0	?					1								8																																				96	375
Zeal	106	pal	zeal	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1										(skill('Zeal'.blvl) < 100) ? (skill('Zeal'.blvl)/50+1) : ((skill('Zeal'.blvl)-50)/25+1)	60	250					Sacrifice								1						1	8	3	0											"min((par5 + lvl -1), par6)"	max targets	((lvl < 5) ? 0 : ((lvl-4) * par4) ) + skill('Sacrifice'.blvl) * par8 / 250	damage %							100	% frame rollback	5	% damage percent	5	damage % per level	2	Targets	7	Max targets			125	damage synergy	1	10	10						8	128																																			128	1000
Charge	107	pal	charge	31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1										(skill('Charge'.blvl) < 100) ? (skill('Charge'.blvl)/50+1) : ((skill('Charge'.blvl)-50)/25+1)	55	250					Smite								1						1	8	12	0											ln34 + (skill('Vigor'.blvl) + skill('Might'.blvl)) * par8 / 250	damage %						elem conversion%	180	percent increase in velocity	0	?	50	plus % damage	5	plus % dam per level	2	Trails	0	?			125	damage synergy	1	50	15						8	128																																			128	1000
Blessed Aim	108	pal	blessed aim		65																73731	blessedaim	blessedaim		ln12	item_tohit_percent	ln34																			penetrate		item_tohit_percent	skill('Blessed Aim'.blvl) * par8 / 250																																																											1	1	6		none														xx																									(skill('Blessed Aim'.blvl) < 100) ? (skill('Blessed Aim'.blvl)/50+1) : ((skill('Blessed Aim'.blvl)-50)/25+1)	50	250					Might														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	75	% attack# bonus	25	% additional attack# bonus	0	?	0	?			25	passive to hit bonus	1								8																																				128	1000
Cleansing	109	pal	cleansing		65																73731	cleansing	cleansing		ln12	item_poisonlengthresist	100-dm34	hitpoints	skill('Prayer'.edns)																																																																																1	3		none														xx																									(skill('Cleansing'.blvl) < 100) ? (skill('Cleansing'.blvl)/50+1) : ((skill('Cleansing'.blvl)-50)/25+1)	60	250					Prayer														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	30	min % reduction	10	max % reduction	0	?	0	?					1								8																																				128	1000
Resist Lightning	110	pal	resist lightning		65																73731	resistlight	resistlight		ln12	lightresist	ln34	maxlightresist	skill('Resist Lightning'.blvl)10																	passive_resistltng		maxlightresist	skill('Resist Lightning'.blvl)/50																																																											1	1	6		none														xx																									(skill('Resist Lightning'.blvl) < 100) ? (skill('Resist Lightning'.blvl)/50+1) : ((skill('Resist Lightning'.blvl)-50)/25+1)	50	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	30	min % resist	5	resist per level	0	?	0	?					1								8																																				128	1000
Vengeance	111	pal	vengeance	35	2																																																																											1																													1	3		h2h		mele										A1	A1	xx				1		1	1								1										(skill('Vengeance'.blvl) < 100) ? (skill('Vengeance'.blvl)/50+1) : ((skill('Vengeance'.blvl)-50)/25+1)	80	250					Zeal								1						1	6	20	2	1										ln12 + skill('Resist Fire'.blvl) * par8 / 250	fire damage%	ln12 + skill('Resist Cold'.blvl * par8 / 250	cold damage%	ln12 + skill('Resist Lightning'.blvl) * par8 / 250	ltng damage%			20	percent damage	2	percent damage per level	0	?	0	?	0	?	0	?			100	damage synergy	1	20	10						8	128														cold														30	15	30	45				160	2000
Blessed Hammer	112	pal	blessed hammer		73												blessedhammer																																																												paladin_holybolt_cast															35					blessedhammer												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast		(skill('Blessed Hammer'.blvl) < 100) ? (skill('Blessed Hammer'.blvl)/50+1) : ((skill('Blessed Hammer'.blvl)-50)/25+1)	70	250					Holy Bolt								1						1	6	24	2	1																		8	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			50	damage synergy	1								8															mag	18	4	8	12	16	20	24	4	8	12	16	20	(skill('Vigor'.blvl) + skill('Blessed Aim'.blvl)) * par8 / 250 + stat(357.accr)								160	2000
