Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword2027	Coincidences	1		mele	shld								r27	r14	r04	gsg			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2028	Coincidences	1		mele	shld								r27	r14	r04	glg			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2029	Coincidences	1		mele	shld								r27	r14	r04	gpg			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2030	Coincidences	1		mele	shld								r27	r14	r04	gsr			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2031	Coincidences	1		mele	shld								r27	r14	r04	glr			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2032	Coincidences	1		mele	shld								r27	r14	r04	gpr			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2033	Coincidences	1		mele	shld								r27	r14	r04	gsw			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2034	Coincidences	1		mele	shld								r27	r14	r04	glw			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2035	Coincidences	1		mele	shld								r27	r14	r04	gpw			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2036	Coincidences	1		mele	shld								r27	r14	r04	sku			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2037	Coincidences	1		mele	shld								r27	r14	r04	skl			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2038	Coincidences	1		mele	shld								r27	r14	r04	skz			hit-skill	44	5	10	ac-miss		100	100	dmg%		100	100	howl		50	50	regen		8	8	rep-dur	5			allskills		1	1	0
Runeword2039	Apostles	1		ashd									r23	r21	r22	jew			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2040	Apostles	1		ashd									r23	r21	r22	gsv			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2041	Apostles	1		ashd									r23	r21	r22	gzv			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2042	Apostles	1		ashd									r23	r21	r22	gpv			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2043	Apostles	1		ashd									r23	r21	r22	gsy			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2044	Apostles	1		ashd									r23	r21	r22	gly			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2045	Apostles	1		ashd									r23	r21	r22	gpy			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2046	Apostles	1		ashd									r23	r21	r22	gsb			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2047	Apostles	1		ashd									r23	r21	r22	glb			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2048	Apostles	1		ashd									r23	r21	r22	gpb			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2049	Apostles	1		ashd									r23	r21	r22	gsg			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2050	Apostles	1		ashd									r23	r21	r22	glg			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2051	Apostles	1		ashd									r23	r21	r22	gpg			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2052	Apostles	1		ashd									r23	r21	r22	gsr			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2053	Apostles	1		ashd									r23	r21	r22	glr			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2054	Apostles	1		ashd									r23	r21	r22	gpr			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2055	Apostles	1		ashd									r23	r21	r22	gsw			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2056	Apostles	1		ashd									r23	r21	r22	glw			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2057	Apostles	1		ashd									r23	r21	r22	gpw			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2058	Apostles	1		ashd									r23	r21	r22	sku			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2059	Apostles	1		ashd									r23	r21	r22	skl			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2060	Apostles	1		ashd									r23	r21	r22	skz			red-mag		20	20	ac%		100	100	res-all		30	30	block3		30	30	pal		2	2	rep-dur	5							0
Runeword2061	Ah-nold	1		helm									r19	r16	r22	jew			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2062	Ah-nold	1		helm									r19	r16	r22	gsv			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2063	Ah-nold	1		helm									r19	r16	r22	gzv			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2064	Ah-nold	1		helm									r19	r16	r22	gpv			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2065	Ah-nold	1		helm									r19	r16	r22	gsy			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2066	Ah-nold	1		helm									r19	r16	r22	gly			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2067	Ah-nold	1		helm									r19	r16	r22	gpy			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2068	Ah-nold	1		helm									r19	r16	r22	gsb			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2069	Ah-nold	1		helm									r19	r16	r22	glb			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2070	Ah-nold	1		helm									r19	r16	r22	gpb			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2071	Ah-nold	1		helm									r19	r16	r22	gsg			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2072	Ah-nold	1		helm									r19	r16	r22	glg			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2073	Ah-nold	1		helm									r19	r16	r22	gpg			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2074	Ah-nold	1		helm									r19	r16	r22	gsr			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2075	Ah-nold	1		helm									r19	r16	r22	glr			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2076	Ah-nold	1		helm									r19	r16	r22	gpr			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2077	Ah-nold	1		helm									r19	r16	r22	gsw			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2078	Ah-nold	1		helm									r19	r16	r22	glw			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2079	Ah-nold	1		helm									r19	r16	r22	gpw			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2080	Ah-nold	1		helm									r19	r16	r22	sku			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2081	Ah-nold	1		helm									r19	r16	r22	skl			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2082	Ah-nold	1		helm									r19	r16	r22	skz			str		80	80	vit		80	80	res-all		30	30	ignore-ac		1	1	rep-dur	5			knock		1	1					0
Runeword2083	Bad Bird	1		head									r18	r14	r07	jew			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2084	Bad Bird	1		head									r18	r14	r07	gsv			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2085	Bad Bird	1		head									r18	r14	r07	gzv			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2086	Bad Bird	1		head									r18	r14	r07	gpv			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2087	Bad Bird	1		head									r18	r14	r07	gsy			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2088	Bad Bird	1		head									r18	r14	r07	gly			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2089	Bad Bird	1		head									r18	r14	r07	gpy			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2090	Bad Bird	1		head									r18	r14	r07	gsb			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2091	Bad Bird	1		head									r18	r14	r07	glb			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2092	Bad Bird	1		head									r18	r14	r07	gpb			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2093	Bad Bird	1		head									r18	r14	r07	gsg			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2094	Bad Bird	1		head									r18	r14	r07	glg			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2095	Bad Bird	1		head									r18	r14	r07	gpg			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2096	Bad Bird	1		head									r18	r14	r07	gsr			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2097	Bad Bird	1		head									r18	r14	r07	glr			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2098	Bad Bird	1		head									r18	r14	r07	gpr			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2099	Bad Bird	1		head									r18	r14	r07	gsw			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2100	Bad Bird	1		head									r18	r14	r07	glw			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2101	Bad Bird	1		head									r18	r14	r07	gpw			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2102	Bad Bird	1		head									r18	r14	r07	sku			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2103	Bad Bird	1		head									r18	r14	r07	skl			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2104	Bad Bird	1		head									r18	r14	r07	skz			dex		40	40	regen		10	10	dmg-pois	100	400	400	nec		2	2	block1		10	15	rep-dur	5							0
Runeword2105	Blackout	1		club	hamm	mace							r10	r16	r04	jew			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2106	Blackout	1		club	hamm	mace							r10	r16	r04	gsv			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2107	Blackout	1		club	hamm	mace							r10	r16	r04	gzv			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2108	Blackout	1		club	hamm	mace							r10	r16	r04	gpv			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2109	Blackout	1		club	hamm	mace							r10	r16	r04	gsy			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2110	Blackout	1		club	hamm	mace							r10	r16	r04	gly			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2111	Blackout	1		club	hamm	mace							r10	r16	r04	gpy			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2112	Blackout	1		club	hamm	mace							r10	r16	r04	gsb			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2113	Blackout	1		club	hamm	mace							r10	r16	r04	glb			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2114	Blackout	1		club	hamm	mace							r10	r16	r04	gpb			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2115	Blackout	1		club	hamm	mace							r10	r16	r04	gsg			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2116	Blackout	1		club	hamm	mace							r10	r16	r04	glg			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2117	Blackout	1		club	hamm	mace							r10	r16	r04	gpg			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2118	Blackout	1		club	hamm	mace							r10	r16	r04	gsr			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2119	Blackout	1		club	hamm	mace							r10	r16	r04	glr			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2120	Blackout	1		club	hamm	mace							r10	r16	r04	gpr			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2121	Blackout	1		club	hamm	mace							r10	r16	r04	gsw			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2122	Blackout	1		club	hamm	mace							r10	r16	r04	glw			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2123	Blackout	1		club	hamm	mace							r10	r16	r04	gpw			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2124	Blackout	1		club	hamm	mace							r10	r16	r04	sku			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2125	Blackout	1		club	hamm	mace							r10	r16	r04	skl			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2126	Blackout	1		club	hamm	mace							r10	r16	r04	skz			hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword2127	Conjecture	1		weap	boot								r15	r13	r25	jew			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2128	Conjecture	1		weap	boot								r15	r13	r25	gsv			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2129	Conjecture	1		weap	boot								r15	r13	r25	gzv			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2130	Conjecture	1		weap	boot								r15	r13	r25	gpv			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2131	Conjecture	1		weap	boot								r15	r13	r25	gsy			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2132	Conjecture	1		weap	boot								r15	r13	r25	gly			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2133	Conjecture	1		weap	boot								r15	r13	r25	gpy			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2134	Conjecture	1		weap	boot								r15	r13	r25	gsb			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2135	Conjecture	1		weap	boot								r15	r13	r25	glb			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2136	Conjecture	1		weap	boot								r15	r13	r25	gpb			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2137	Conjecture	1		weap	boot								r15	r13	r25	gsg			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2138	Conjecture	1		weap	boot								r15	r13	r25	glg			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2139	Conjecture	1		weap	boot								r15	r13	r25	gpg			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2140	Conjecture	1		weap	boot								r15	r13	r25	gsr			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2141	Conjecture	1		weap	boot								r15	r13	r25	glr			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2142	Conjecture	1		weap	boot								r15	r13	r25	gpr			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2143	Conjecture	1		weap	boot								r15	r13	r25	gsw			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2144	Conjecture	1		weap	boot								r15	r13	r25	glw			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2145	Conjecture	1		weap	boot								r15	r13	r25	gpw			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2146	Conjecture	1		weap	boot								r15	r13	r25	sku			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2147	Conjecture	1		weap	boot								r15	r13	r25	skl			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2148	Conjecture	1		weap	boot								r15	r13	r25	skz			ease		-30	-30	swing2		40	40	att%		50	50	res-fire-max		10	10	move2		30	30	rep-dur	5			allskills		1	1	0
Runeword2149	Cyclops' Eye	1		helm									r19	r16	r06	jew			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2150	Cyclops' Eye	1		helm									r19	r16	r06	gsv			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2151	Cyclops' Eye	1		helm									r19	r16	r06	gzv			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2152	Cyclops' Eye	1		helm									r19	r16	r06	gpv			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2153	Cyclops' Eye	1		helm									r19	r16	r06	gsy			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2154	Cyclops' Eye	1		helm									r19	r16	r06	gly			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2155	Cyclops' Eye	1		helm									r19	r16	r06	gpy			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2156	Cyclops' Eye	1		helm									r19	r16	r06	gsb			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2157	Cyclops' Eye	1		helm									r19	r16	r06	glb			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2158	Cyclops' Eye	1		helm									r19	r16	r06	gpb			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2159	Cyclops' Eye	1		helm									r19	r16	r06	gsg			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2160	Cyclops' Eye	1		helm									r19	r16	r06	glg			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2161	Cyclops' Eye	1		helm									r19	r16	r06	gpg			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2162	Cyclops' Eye	1		helm									r19	r16	r06	gsr			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2163	Cyclops' Eye	1		helm									r19	r16	r06	glr			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2164	Cyclops' Eye	1		helm									r19	r16	r06	gpr			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2165	Cyclops' Eye	1		helm									r19	r16	r06	gsw			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2166	Cyclops' Eye	1		helm									r19	r16	r06	glw			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2167	Cyclops' Eye	1		helm									r19	r16	r06	gpw			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2168	Cyclops' Eye	1		helm									r19	r16	r06	sku			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2169	Cyclops' Eye	1		helm									r19	r16	r06	skl			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2170	Cyclops' Eye	1		helm									r19	r16	r06	skz			str		75	75	vit		50	50	dmg-max		100	100	light		-6	-6	rep-dur	5			ac-miss		100	100	dmg-min		50	50	0
Runeword2171	Daylight Savings	1		spea	pole								r14	r22	r01	jew			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2172	Daylight Savings	1		spea	pole								r14	r22	r01	gsv			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2173	Daylight Savings	1		spea	pole								r14	r22	r01	gzv			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2174	Daylight Savings	1		spea	pole								r14	r22	r01	gpv			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2175	Daylight Savings	1		spea	pole								r14	r22	r01	gsy			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2176	Daylight Savings	1		spea	pole								r14	r22	r01	gly			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2177	Daylight Savings	1		spea	pole								r14	r22	r01	gpy			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2178	Daylight Savings	1		spea	pole								r14	r22	r01	gsb			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2179	Daylight Savings	1		spea	pole								r14	r22	r01	glb			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2180	Daylight Savings	1		spea	pole								r14	r22	r01	gpb			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2181	Daylight Savings	1		spea	pole								r14	r22	r01	gsg			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
Runeword2182	Daylight Savings	1		spea	pole								r14	r22	r01	glg			openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	10			hit-skill	38	5	10					0
