Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DMG	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
161	25921	77763	311052	25921	77763	311052	25921	77763	311052	25921	77763	311052	25921	51842	155526	25921	51842	155526	2594	5188	15564	2594	5188	15564	2594	5188	15564	2594	5188	15564
162	26244	78732	314928	26244	78732	314928	26244	78732	314928	26244	78732	314928	26244	52488	157464	26244	52488	157464	2626	5252	15756	2626	5252	15756	2626	5252	15756	2626	5252	15756
163	26569	79707	318828	26569	79707	318828	26569	79707	318828	26569	79707	318828	26569	53138	159414	26569	53138	159414	2659	5318	15954	2659	5318	15954	2659	5318	15954	2659	5318	15954
164	26896	80688	322752	26896	80688	322752	26896	80688	322752	26896	80688	322752	26896	53792	161376	26896	53792	161376	2692	5384	16152	2692	5384	16152	2692	5384	16152	2692	5384	16152
165	27225	81675	326700	27225	81675	326700	27225	81675	326700	27225	81675	326700	27225	54450	163350	27225	54450	163350	2725	5450	16350	2725	5450	16350	2725	5450	16350	2725	5450	16350
166	27556	82668	330672	27556	82668	330672	27556	82668	330672	27556	82668	330672	27556	55112	165336	27556	55112	165336	2758	5516	16548	2758	5516	16548	2758	5516	16548	2758	5516	16548
167	27889	83667	334668	27889	83667	334668	27889	83667	334668	27889	83667	334668	27889	55778	167334	27889	55778	167334	2791	5582	16746	2791	5582	16746	2791	5582	16746	2791	5582	16746
168	28224	84672	338688	28224	84672	338688	28224	84672	338688	28224	84672	338688	28224	56448	169344	28224	56448	169344	2824	5648	16944	2824	5648	16944	2824	5648	16944	2824	5648	16944
169	28561	85683	342732	28561	85683	342732	28561	85683	342732	28561	85683	342732	28561	57122	171366	28561	57122	171366	2858	5716	17148	2858	5716	17148	2858	5716	17148	2858	5716	17148
170	28900	86700	346800	28900	86700	346800	28900	86700	346800	28900	86700	346800	28900	57800	173400	28900	57800	173400	2892	5784	17352	2892	5784	17352	2892	5784	17352	2892	5784	17352
171	29241	87723	350892	29241	87723	350892	29241	87723	350892	29241	87723	350892	29241	58482	175446	29241	58482	175446	2926	5852	17556	2926	5852	17556	2926	5852	17556	2926	5852	17556
172	29584	88752	355008	29584	88752	355008	29584	88752	355008	29584	88752	355008	29584	59168	177504	29584	59168	177504	2960	5920	17760	2960	5920	17760	2960	5920	17760	2960	5920	17760
173	29929	89787	359148	29929	89787	359148	29929	89787	359148	29929	89787	359148	29929	59858	179574	29929	59858	179574	2995	5990	17970	2995	5990	17970	2995	5990	17970	2995	5990	17970
174	30276	90828	363312	30276	90828	363312	30276	90828	363312	30276	90828	363312	30276	60552	181656	30276	60552	181656	3030	6060	18180	3030	6060	18180	3030	6060	18180	3030	6060	18180
175	30625	91875	367500	30625	91875	367500	30625	91875	367500	30625	91875	367500	30625	61250	183750	30625	61250	183750	3065	6130	18390	3065	6130	18390	3065	6130	18390	3065	6130	18390
176	30976	92928	371712	30976	92928	371712	30976	92928	371712	30976	92928	371712	30976	61952	185856	30976	61952	185856	3100	6200	18600	3100	6200	18600	3100	6200	18600	3100	6200	18600
177	31329	93987	375948	31329	93987	375948	31329	93987	375948	31329	93987	375948	31329	62658	187974	31329	62658	187974	3135	6270	18810	3135	6270	18810	3135	6270	18810	3135	6270	18810
178	31684	95052	380208	31684	95052	380208	31684	95052	380208	31684	95052	380208	31684	63368	190104	31684	63368	190104	3170	6340	19020	3170	6340	19020	3170	6340	19020	3170	6340	19020
179	32041	96123	384492	32041	96123	384492	32041	96123	384492	32041	96123	384492	32041	64082	192246	32041	64082	192246	3206	6412	19236	3206	6412	19236	3206	6412	19236	3206	6412	19236
180	32400	97200	388800	32400	97200	388800	32400	97200	388800	32400	97200	388800	32400	64800	194400	32400	64800	194400	3242	6484	19452	3242	6484	19452	3242	6484	19452	3242	6484	19452
181	32761	98283	393132	32761	98283	393132	32761	98283	393132	32761	98283	393132	32761	65522	196566	32761	65522	196566	3278	6556	19668	3278	6556	19668	3278	6556	19668	3278	6556	19668
182	33124	99372	397488	33124	99372	397488	33124	99372	397488	33124	99372	397488	33124	66248	198744	33124	66248	198744	3314	6628	19884	3314	6628	19884	3314	6628	19884	3314	6628	19884
183	33489	100467	401868	33489	100467	401868	33489	100467	401868	33489	100467	401868	33489	66978	200934	33489	66978	200934	3351	6702	20106	3351	6702	20106	3351	6702	20106	3351	6702	20106
184	33856	101568	406272	33856	101568	406272	33856	101568	406272	33856	101568	406272	33856	67712	203136	33856	67712	203136	3388	6776	20328	3388	6776	20328	3388	6776	20328	3388	6776	20328
185	34225	102675	410700	34225	102675	410700	34225	102675	410700	34225	102675	410700	34225	68450	205350	34225	68450	205350	3425	6850	20550	3425	6850	20550	3425	6850	20550	3425	6850	20550
186	34596	103788	415152	34596	103788	415152	34596	103788	415152	34596	103788	415152	34596	69192	207576	34596	69192	207576	3462	6924	20772	3462	6924	20772	3462	6924	20772	3462	6924	20772
187	34969	104907	419628	34969	104907	419628	34969	104907	419628	34969	104907	419628	34969	69938	209814	34969	69938	209814	3499	6998	20994	3499	6998	20994	3499	6998	20994	3499	6998	20994
188	35344	106032	424128	35344	106032	424128	35344	106032	424128	35344	106032	424128	35344	70688	212064	35344	70688	212064	3536	7072	21216	3536	7072	21216	3536	7072	21216	3536	7072	21216
189	35721	107163	428652	35721	107163	428652	35721	107163	428652	35721	107163	428652	35721	71442	214326	35721	71442	214326	3574	7148	21444	3574	7148	21444	3574	7148	21444	3574	7148	21444
190	36100	108300	433200	36100	108300	433200	36100	108300	433200	36100	108300	433200	36100	72200	216600	36100	72200	216600	3612	7224	21672	3612	7224	21672	3612	7224	21672	3612	7224	21672
191	36481	109443	437772	36481	109443	437772	36481	109443	437772	36481	109443	437772	36481	72962	218886	36481	72962	218886	3650	7300	21900	3650	7300	21900	3650	7300	21900	3650	7300	21900
192	36864	110592	442368	36864	110592	442368	36864	110592	442368	36864	110592	442368	36864	73728	221184	36864	73728	221184	3688	7376	22128	3688	7376	22128	3688	7376	22128	3688	7376	22128
193	37249	111747	446988	37249	111747	446988	37249	111747	446988	37249	111747	446988	37249	74498	223494	37249	74498	223494	3727	7454	22362	3727	7454	22362	3727	7454	22362	3727	7454	22362
194	37636	112908	451632	37636	112908	451632	37636	112908	451632	37636	112908	451632	37636	75272	225816	37636	75272	225816	3766	7532	22596	3766	7532	22596	3766	7532	22596	3766	7532	22596
195	38025	114075	456300	38025	114075	456300	38025	114075	456300	38025	114075	456300	38025	76050	228150	38025	76050	228150	3805	7610	22830	3805	7610	22830	3805	7610	22830	3805	7610	22830
196	38416	115248	460992	38416	115248	460992	38416	115248	460992	38416	115248	460992	38416	76832	230496	38416	76832	230496	3844	7688	23064	3844	7688	23064	3844	7688	23064	3844	7688	23064
197	38809	116427	465708	38809	116427	465708	38809	116427	465708	38809	116427	465708	38809	77618	232854	38809	77618	232854	3883	7766	23298	3883	7766	23298	3883	7766	23298	3883	7766	23298
198	39204	117612	470448	39204	117612	470448	39204	117612	470448	39204	117612	470448	39204	78408	235224	39204	78408	235224	3922	7844	23532	3922	7844	23532	3922	7844	23532	3922	7844	23532
199	39601	118803	475212	39601	118803	475212	39601	118803	475212	39601	118803	475212	39601	79202	237606	39601	79202	237606	3962	7924	23772	3962	7924	23772	3962	7924	23772	3962	7924	23772
200	40000	120000	480000	40000	120000	480000	40000	120000	480000	40000	120000	480000	40000	80000	240000	40000	80000	240000	4002	8004	24012	4002	8004	24012	4002	8004	24012	4002	8004	24012
201	40401	121203	484812	40401	121203	484812	40401	121203	484812	40401	121203	484812	40401	80802	242406	40401	80802	242406	4042	8084	24252	4042	8084	24252	4042	8084	24252	4042	8084	24252
202	40804	122412	489648	40804	122412	489648	40804	122412	489648	40804	122412	489648	40804	81608	244824	40804	81608	244824	4082	8164	24492	4082	8164	24492	4082	8164	24492	4082	8164	24492
203	41209	123627	494508	41209	123627	494508	41209	123627	494508	41209	123627	494508	41209	82418	247254	41209	82418	247254	4123	8246	24738	4123	8246	24738	4123	8246	24738	4123	8246	24738
204	41616	124848	499392	41616	124848	499392	41616	124848	499392	41616	124848	499392	41616	83232	249696	41616	83232	249696	4164	8328	24984	4164	8328	24984	4164	8328	24984	4164	8328	24984
205	42025	126075	504300	42025	126075	504300	42025	126075	504300	42025	126075	504300	42025	84050	252150	42025	84050	252150	4205	8410	25230	4205	8410	25230	4205	8410	25230	4205	8410	25230
206	42436	127308	509232	42436	127308	509232	42436	127308	509232	42436	127308	509232	42436	84872	254616	42436	84872	254616	4246	8492	25476	4246	8492	25476	4246	8492	25476	4246	8492	25476
207	42849	128547	514188	42849	128547	514188	42849	128547	514188	42849	128547	514188	42849	85698	257094	42849	85698	257094	4287	8574	25722	4287	8574	25722	4287	8574	25722	4287	8574	25722
208	43264	129792	519168	43264	129792	519168	43264	129792	519168	43264	129792	519168	43264	86528	259584	43264	86528	259584	4328	8656	25968	4328	8656	25968	4328	8656	25968	4328	8656	25968
209	43681	131043	524172	43681	131043	524172	43681	131043	524172	43681	131043	524172	43681	87362	262086	43681	87362	262086	4370	8740	26220	4370	8740	26220	4370	8740	26220	4370	8740	26220
210	44100	132300	529200	44100	132300	529200	44100	132300	529200	44100	132300	529200	44100	88200	264600	44100	88200	264600	4412	8824	26472	4412	8824	26472	4412	8824	26472	4412	8824	26472
211	44521	133563	534252	44521	133563	534252	44521	133563	534252	44521	133563	534252	44521	89042	267126	44521	89042	267126	4454	8908	26724	4454	8908	26724	4454	8908	26724	4454	8908	26724
212	44944	134832	539328	44944	134832	539328	44944	134832	539328	44944	134832	539328	44944	89888	269664	44944	89888	269664	4496	8992	26976	4496	8992	26976	4496	8992	26976	4496	8992	26976
213	45369	136107	544428	45369	136107	544428	45369	136107	544428	45369	136107	544428	45369	90738	272214	45369	90738	272214	4539	9078	27234	4539	9078	27234	4539	9078	27234	4539	9078	27234
214	45796	137388	549552	45796	137388	549552	45796	137388	549552	45796	137388	549552	45796	91592	274776	45796	91592	274776	4582	9164	27492	4582	9164	27492	4582	9164	27492	4582	9164	27492
215	46225	138675	554700	46225	138675	554700	46225	138675	554700	46225	138675	554700	46225	92450	277350	46225	92450	277350	4625	9250	27750	4625	9250	27750	4625	9250	27750	4625	9250	27750
216	46656	139968	559872	46656	139968	559872	46656	139968	559872	46656	139968	559872	46656	93312	279936	46656	93312	279936	4668	9336	28008	4668	9336	28008	4668	9336	28008	4668	9336	28008
217	47089	141267	565068	47089	141267	565068	47089	141267	565068	47089	141267	565068	47089	94178	282534	47089	94178	282534	4711	9422	28266	4711	9422	28266	4711	9422	28266	4711	9422	28266
218	47524	142572	570288	47524	142572	570288	47524	142572	570288	47524	142572	570288	47524	95048	285144	47524	95048	285144	4754	9508	28524	4754	9508	28524	4754	9508	28524	4754	9508	28524
219	47961	143883	575532	47961	143883	575532	47961	143883	575532	47961	143883	575532	47961	95922	287766	47961	95922	287766	4798	9596	28788	4798	9596	28788	4798	9596	28788	4798	9596	28788
220	48400	145200	580800	48400	145200	580800	48400	145200	580800	48400	145200	580800	48400	96800	290400	48400	96800	290400	4842	9684	29052	4842	9684	29052	4842	9684	29052	4842	9684	29052
221	48841	146523	586092	48841	146523	586092	48841	146523	586092	48841	146523	586092	48841	97682	293046	48841	97682	293046	4886	9772	29316	4886	9772	29316	4886	9772	29316	4886	9772	29316
222	49284	147852	591408	49284	147852	591408	49284	147852	591408	49284	147852	591408	49284	98568	295704	49284	98568	295704	4930	9860	29580	4930	9860	29580	4930	9860	29580	4930	9860	29580
223	49729	149187	596748	49729	149187	596748	49729	149187	596748	49729	149187	596748	49729	99458	298374	49729	99458	298374	4975	9950	29850	4975	9950	29850	4975	9950	29850	4975	9950	29850
224	50176	150528	602112	50176	150528	602112	50176	150528	602112	50176	150528	602112	50176	100352	301056	50176	100352	301056	5020	10040	30120	5020	10040	30120	5020	10040	30120	5020	10040	30120
225	50625	151875	607500	50625	151875	607500	50625	151875	607500	50625	151875	607500	50625	101250	303750	50625	101250	303750	5065	10130	30390	5065	10130	30390	5065	10130	30390	5065	10130	30390
226	51076	153228	612912	51076	153228	612912	51076	153228	612912	51076	153228	612912	51076	102152	306456	51076	102152	306456	5110	10220	30660	5110	10220	30660	5110	10220	30660	5110	10220	30660
227	51529	154587	618348	51529	154587	618348	51529	154587	618348	51529	154587	618348	51529	103058	309174	51529	103058	309174	5155	10310	30930	5155	10310	30930	5155	10310	30930	5155	10310	30930
228	51984	155952	623808	51984	155952	623808	51984	155952	623808	51984	155952	623808	51984	103968	311904	51984	103968	311904	5200	10400	31200	5200	10400	31200	5200	10400	31200	5200	10400	31200
229	52441	157323	629292	52441	157323	629292	52441	157323	629292	52441	157323	629292	52441	104882	314646	52441	104882	314646	5246	10492	31476	5246	10492	31476	5246	10492	31476	5246	10492	31476
230	52900	158700	634800	52900	158700	634800	52900	158700	634800	52900	158700	634800	52900	105800	317400	52900	105800	317400	5292	10584	31752	5292	10584	31752	5292	10584	31752	5292	10584	31752
231	53361	160083	640332	53361	160083	640332	53361	160083	640332	53361	160083	640332	53361	106722	320166	53361	106722	320166	5338	10676	32028	5338	10676	32028	5338	10676	32028	5338	10676	32028
232	53824	161472	645888	53824	161472	645888	53824	161472	645888	53824	161472	645888	53824	107648	322944	53824	107648	322944	5384	10768	32304	5384	10768	32304	5384	10768	32304	5384	10768	32304
233	54289	162867	651468	54289	162867	651468	54289	162867	651468	54289	162867	651468	54289	108578	325734	54289	108578	325734	5431	10862	32586	5431	10862	32586	5431	10862	32586	5431	10862	32586
234	54756	164268	657072	54756	164268	657072	54756	164268	657072	54756	164268	657072	54756	109512	328536	54756	109512	328536	5478	10956	32868	5478	10956	32868	5478	10956	32868	5478	10956	32868
235	55225	165675	662700	55225	165675	662700	55225	165675	662700	55225	165675	662700	55225	110450	331350	55225	110450	331350	5525	11050	33150	5525	11050	33150	5525	11050	33150	5525	11050	33150
236	55696	167088	668352	55696	167088	668352	55696	167088	668352	55696	167088	668352	55696	111392	334176	55696	111392	334176	5570	11140	33420	5570	11140	33420	5570	11140	33420	5570	11140	33420
237	112338	337014	1348056	112338	337014	1348056	112338	337014	1348056	112338	337014	1348056	112338	224676	674028	112338	224676	674028	11234	22468	67404	11234	22468	67404	11234	22468	67404	11234	22468	67404
238	169932	509796	2039184	169932	509796	2039184	169932	509796	2039184	169932	509796	2039184	169932	339864	1019592	169932	339864	1019592	16993	33986	101958	16993	33986	101958	16993	33986	101958	16993	33986	101958
239	228484	685452	2741808	228484	685452	2741808	228484	685452	2741808	228484	685452	2741808	228484	456968	1370904	228484	456968	1370904	22848	45696	137088	22848	45696	137088	22848	45696	137088	22848	45696	137088
240	288000	864000	3456000	288000	864000	3456000	288000	864000	3456000	288000	864000	3456000	288000	576000	1728000	288000	576000	1728000	28800	57600	172800	28800	57600	172800	28800	57600	172800	28800	57600	172800
241	348486	1045458	4181832	348486	1045458	4181832	348486	1045458	4181832	348486	1045458	4181832	348486	696972	2090916	348486	696972	2090916	34849	69698	209094	34849	69698	209094	34849	69698	209094	34849	69698	209094
242	409948	1229844	4919376	409948	1229844	4919376	409948	1229844	4919376	409948	1229844	4919376	409948	819896	2459688	409948	819896	2459688	40995	81990	245970	40995	81990	245970	40995	81990	245970	40995	81990	245970
243	472392	1417176	5668704	472392	1417176	5668704	472392	1417176	5668704	472392	1417176	5668704	472392	944784	2834352	472392	944784	2834352	47239	94478	283434	47239	94478	283434	47239	94478	283434	47239	94478	283434
244	535824	1607472	6429888	535824	1607472	6429888	535824	1607472	6429888	535824	1607472	6429888	535824	1071648	3214944	535824	1071648	3214944	53582	107164	321492	53582	107164	321492	53582	107164	321492	53582	107164	321492
245	600250	1800750	7203000	600250	1800750	7203000	600250	1800750	7203000	600250	1800750	7203000	600250	1200500	3601500	600250	1200500	3601500	60025	120050	360150	60025	120050	360150	60025	120050	360150	60025	120050	360150
246	665676	1997028	7988112	665676	1997028	7988112	665676	1997028	7988112	665676	1997028	7988112	665676	1331352	3994056	665676	1331352	3994056	66568	133136	399408	66568	133136	399408	66568	133136	399408	66568	133136	399408
247	732108	2196324	8785296	732108	2196324	8785296	732108	2196324	8785296	732108	2196324	8785296	732108	1464216	4392648	732108	1464216	4392648	73211	146422	439266	73211	146422	439266	73211	146422	439266	73211	146422	439266
248	799552	2398656	9594624	799552	2398656	9594624	799552	2398656	9594624	799552	2398656	9594624	799552	1599104	4797312	799552	1599104	4797312	79955	159910	479730	79955	159910	479730	79955	159910	479730	79955	159910	479730
249	868014	2604042	10416168	868014	2604042	10416168	868014	2604042	10416168	868014	2604042	10416168	868014	1736028	5208084	868014	1736028	5208084	86801	173602	520806	86801	173602	520806	86801	173602	520806	86801	173602	520806
250	937500	2812500	11250000	937500	2812500	11250000	937500	2812500	11250000	937500	2812500	11250000	937500	1875000	5625000	937500	1875000	5625000	93750	187500	562500	93750	187500	562500	93750	187500	562500	93750	187500	562500
251	1008016	3024048	12096192	1008016	3024048	12096192	1008016	3024048	12096192	1008016	3024048	12096192	1008016	2016032	6048096	1008016	2016032	6048096	100802	201604	604812	100802	201604	604812	100802	201604	604812	100802	201604	604812
252	1079568	3238704	12954816	1079568	3238704	12954816	1079568	3238704	12954816	1079568	3238704	12954816	1079568	2159136	6477408	1079568	2159136	6477408	107957	215914	647742	107957	215914	647742	107957	215914	647742	107957	215914	647742
253	1152162	3456486	13825944	1152162	3456486	13825944	1152162	3456486	13825944	1152162	3456486	13825944	1152162	2304324	6912972	1152162	2304324	6912972	115216	230432	691296	115216	230432	691296	115216	230432	691296	115216	230432	691296
254	1225804	3677412	14709648	1225804	3677412	14709648	1225804	3677412	14709648	1225804	3677412	14709648	1225804	2451608	7354824	1225804	2451608	7354824	122580	245160	735480	122580	245160	735480	122580	245160	735480	122580	245160	735480
255	1300500	3901500	15606000	1300500	3901500	15606000	1300500	3901500	15606000	1300500	3901500	15606000	1300500	2601000	7803000	1300500	2601000	7803000	130050	260100	780300	130050	260100	780300	130050	260100	780300	130050	260100	780300
