skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
zeal	1	3	1	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				1					7	StrSkill11		clc1		2	StrSkill4	StrSkill23	clc2		2	StrSkill30	StrSkill23	toht																																40	Sksyn	skillname106	2		15	skillname96	SynPhys125																												0
charge	1	3	3	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname107	2		15	skillname115	SynPhys125			15	skillname98	SynPhys125																							0
blessed aim	2	3	1	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	19	StrSkill18		rng		2	StrSkill22	StrSkill23	ast1																																																																													0
cleansing	3	3	1	3	0	38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	19	StrSkill18		rng		4	StrSkill50		skill('Prayer'.ast1) / 256		4	StrSkill50		ast2		3	StrSkill74	StrSkill23	100 - ast1																																40	Sksyn	skillname109	2		18	skillname99																													0
resist lightning	3	3	3	3	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	19	StrSkill18		rng		6	ModStr5w		ast2		2	StrSkill53	StrSkill23	ast1																																																																								0
vengeance	1	4	1	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					2	StrSkill7	StrSkill23	clc3		11					2	StrSkill6	StrSkill23	clc2		2	StrSkill5	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																						40	Sksyn	skillname111	2		15	skillname100	SynFire100			15	skillname105	SynCold100			15	skillname110	SynLtng100																		0
blessed hammer	1	4	2	1	0	32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		15	skillname108	SynMag50			15	skillname115	SynMag50																							0
concentration	2	4	1	2	0	34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	StrSkill23	ast1		3	StrSkill76	StrSkill23	ast2																																																																								0
holy freeze	2	4	2	2	0	36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																19	StrSkill18		rng		3	StrSkill77	StrSkill23	ast1		10					38	StrSkill6	strEskilllighttoattack	pst1	pst2																															40	Sksyn	skillname114	2		15	skillname105	SynCold50			15	skillname125	SynCold50																							0
vigor	3	4	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	19	StrSkill18		rng		2	StrSkill69	StrSkill23	ast1		2	StrSkill71	StrSkill23	ast2		2	StrSkill70	StrSkill23	ast3																																																																			0
conversion	1	5	1	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					12	StrSkill20		len		3	StrSkill99	StrSkill23	clc1																																																																								0
holy shield	1	5	3	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					12	StrSkill20		len		2	StrSkill110	StrSkill23	ast1		2	StrSkill31	StrSkill23	ast2																																40	Sksyn	skillname117	2		15	skillname104	SynDef5																												0
holy shock	2	5	2	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																19	StrSkill18		rng		10					38	StrSkill7	strEskilllighttoattack	pst1	pst2																																				40	Sksyn	skillname118	2		15	skillname110	SynLtng50			15	skillname125	SynLtng50																							0
sanctuary	2	5	3	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																19	StrSkill18		rng		10					67	ModStr4f	StrSkill23	ast1																																					40	Sksyn	skillname119	2		15	skillname109	SynMag100																												0
meditation	3	5	1	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	19	StrSkill18		rng		4	StrSkill50		skill('Prayer'.ast1) / 256		2	StrSkill88	StrSkill23	ast1																																					40	Sksyn	skillname120	2		18	skillname99																													0
fist of the heavens	1	6	2	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													fistoftheheavensbolt			1					10					50	StrSkill91																																							40	Sksyn	skillname121	2		15	skillname101	SynHoly50			15	skillname118	SynLtng50																							0
fanaticism	2	6	1	2	0	52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	19	StrSkill18		rng		2	StrSkill106	StrSkill23	ast1		2	FanYDam	StrSkill23	pst1		2	PartDam	StrSkill23	ast3		2	StrSkill22	StrSkill23	ast2																																																														0
conviction	2	6	3	2	0	56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	19	StrSkill18		rng		3	StrSkill90	StrSkill23	ast2		2	StrSkill21	StrSkill23	ast1																																																																								0
redemption	3	6	2	3	0	54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	19	StrSkill18		rng		3	StrSkill107	StrSkill108	clc2		3	StrSkill109	StrSkill23	clc1																																																																								0
salvation	3	6	3	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	19	StrSkill18		rng		2	StrSkill54	StrSkill23	ast1																																																																													0
bash	1	1	2	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	clc2										1				1					4	StrSkill4		clc2		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname126	2		15	skillname139	SynPhys125			15	skillname144	SynAtt5																							0
sword mastery	2	1	1	2	0	2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
axe mastery	2	1	2	2	0	4	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
mace mastery	2	1	3	2	0	6	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
howl	3	1	1	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
find potion	3	1	3	3	0	10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	1					7	StrSkill24		clc1																																																																													0
leap	1	2	1	1	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrSkill18		ast1																																																																													0
double swing	1	2	3	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				1					2	StrSkill22	StrSkill23	toht																						2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname133	2		15	skillname126	SynPhys50																												0
pole arm mastery	2	2	1	2	0	16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
throwing mastery	2	2	2	2	0	18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
spear mastery	2	2	3	2	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
taunt	3	2	1	3	0	22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ast1		3	StrSkill38	StrSkill23	ast2																																																																								0
shout	3	2	2	3	0	24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ast1																																					40	Sksyn	skillname138	2		15	skillname149	SynDur25			15	skillname155	SynDur25																							0
stun	1	3	2	1	0	26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				1					12	StrSkill20		"min(250,edln)"		3	StrSkill22	StrSkill23	toht																	2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname139	2		15	skillname126	SynPhys50			15	skillname144	SynAtt5			15	skillname154	SynStun50																		0
double throw	1	3	3	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	22												1				1					11					10					9					8										73	WeapDamsk		6	4																																																			0
increased vitality	2	3	1	2	0	30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	4	StrSkill71		pst1																																																																																		0
find item	3	3	3	3	0	32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	1					7	StrSkill24		clc1																																																																													0
leap attack	1	4	1	1	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname143	2		15	skillname132	SynPhys125																												0
concentrate	1	4	2	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill31	StrSkill23	ln34		2	StrSkill22	StrSkill23	toht												2	StrSkill39	StrSkill23	clc4																	40	Sksyn	skillname144	2		15	skillname126	SynPhys125			15	skillname149	SynPhys125			15	skillname152	SynMag125	1																	0
iron skin	2	4	3	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		pst1																																																																																		0
battle cry	3	4	1	3	0	40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																	1					12	StrSkill20		len		3	StrSkill4	StrSkill23	ast2		3	StrSkill21	StrSkill23	ast1																																																																			0
frenzy	1	5	3	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				1					2	StrSkill89	StrSkill23	ast1		2	StrSkill106	StrSkill23	ast2		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht							12	StrSkill20		len		2	StrSkill39	StrSkill23	clc4												40	Sksyn	skillname147	2		15	skillname133	SynPhys125			15	skillname137	SynPhys125			15	skillname152	SynMag125	1																	0
increased speed	2	5	1	2	0	44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	pst1																																																																																		0
battle orders	3	5	2	3	0	46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					12	StrSkill20		len		3	StrSkill101	StrSkill23	ast1		3	StrSkill100	StrSkill23	ast2																																40	Sksyn	skillname149	2		15	skillname138	SynDur25			15	skillname155	SynDur25																							0
grim ward	3	5	3	3	0	48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	1					12	StrSkill20		clc1		19	StrSkill18		rng																																																																								0
whirlwind	1	6	1	1	0	50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																																								0
berserk	1	6	2	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				1					12	StrSkill20		clc2		2	StrSkill39	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname152	2		15	skillname130	SynPhys125			15	skillname138	SynPhys125																							0
natural resistance	2	6	3	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	pst1																																																																																		0
war cry	3	6	1	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		"min(250,ln12)"		9					10																																			40	Sksyn	skillname154	2		15	skillname130	SynPhys50			15	skillname137	SynPhys50			15	skillname146	SynPhys50																		0
battle command	3	6	2	3	0	58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len		66	strModAllSkillLevels		ast1																																					40	Sksyn	skillname155	2		15	skillname138	SynDur25			15	skillname149	SynDur25																							0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	2	1	0	0	Skillname222	Skillsd222	Skillld222	Skillan222	Eskillincaseraven																	1					5	ESkillHawk		pets		7	StrSkill11		ln56		14					9																																																																	0
plague poppy	1	1	3	1	0	2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					14					13			clc1																																																																								0
wearwolf	2	1	1	2	0	20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	1					12	StrSkill20		len		2	StrSkill106	StrSkill23	ast1		2	StrSkill10	StrSkill23	ast2		2	StrSkill42	StrSkill23	ast3																											40	Sksyn	Skillname224	2		18	Skillname225																													0
shape shifting	2	1	2	2	0	52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	57	StrSkill20		ln12		2	StrSkill100	StrSkill23	ln34																																																																													0
firestorm	3	1	1	3	0	32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																1					27																																													40	Sksyn	Skillname226	2		15	Skillname230	SynFire50			15	Skillname235	SynFire50																							0
oak sage	1	2	1	1	0	16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill42	StrSkill23	ln12		13			clc1																																																																			0
summon spirit wolf	1	2	2	1	0	6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	1					2	StrSkill21	StrSkill23	pst1		2	StrSkill22	StrSkill23	pst2		9			pst3		13			clc1							5	ESkillNext		(lvl < 4) ? (lvl + 1) : ((lvl / 6 + 1) * 6)		5	ESkillWolves		pets												40	Sksyn	Skillname228	2		25	Skillname238				25	Skillname248																								0
wearbear	2	2	3	2	0	22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ast2		2	StrSkill4	StrSkill23	ast1		2	StrSkill42	StrSkill23	ast3																											40	Sksyn	Skillname229	2		18	Skillname225																													0
molten boulder	3	2	1	3	0	34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													moltenboulderfirepath			1					22					10					9																																			40	Sksyn	Skillname230	2		15	Skillname245	SynPhys50			15	Skillname226	SynFire50																							0
arctic blast	3	2	3	3	0	36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		rng		11					26																																			40	Sksyn	Skillname231	2		15	Skillname251	SynCold50			15	Skillname236	SynCold50																							0
cycle of life	1	3	3	1	0	8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					3	StrSkill50	StrSkill23	clc3		13			clc1																																																																								0
feral rage	2	3	1	2	0	54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				1					12	StrSkill20		len		2	StrSkill4	StrSkill23	clc1		52	EskillLifeSteal	StrSkill23	ast2	ast3	52	StrSkill89	StrSkill23	ast1	ast1	2	StrSkill22	StrSkill23	toht																																																									0
maul	2	3	3	2	0	56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				1					12	StrSkill20		len		12	StrSkill48		ast2		52	StrSkill4	StrSkill23	par3	ast1	2	StrSkill22	StrSkill23	toht																																																														0
eruption	3	3	1	3	0	38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													erruption center			1					23	StrSkill20				10																																								40	Sksyn	Skillname235	2		15	Skillname226	SynFire50			15	Skillname245	SynFire50																							0
cyclone armor	3	3	3	3	0	40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					5	MaxDmgAbs		clc1		5	CurDmgAbs		ast1 / 256																																					40	Sksyn	Skillname236	2		67	Skillname241	Damabsplev	par8		67	Skillname246	Damabsplev	par8		67	Skillname251	Damabsplev	par8																	0
heart of wolverine	1	4	1	1	0	10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill4	StrSkill23	ln56		2	StrSkill22	StrSkill23	ln34		13			clc1																																																														0
summon fenris	1	4	2	1	0	12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	1					2	StrSkill21	StrSkill23	pst1		2	StrSkill22	StrSkill23	pst2		9			pst3		13			clc1							5	ESkillNext		(lvl < 7) ? ((lvl + 1)/ 2 * 2 + 1) : ((lvl / 10 + 1) * 10)		5	ESkillWolves		pets												40	Sksyn	Skillname238	2		25	Skillname228									25	Skillname248																			0
rabies	2	4	1	2	0	24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				1					14					2	StrSkill22	StrSkill23	toht																																					40	Sksyn	Skillname239	2		15	Skillname223	SynPois50																												0
fire claws	2	4	2	2	0	26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1					10					9					2	StrSkill22	StrSkill23	toht																																40	Sksyn	Skillname240	2		15	Skillname226	SynFire35			15	Skillname230	SynFire35			15	Skillname235	SynFire35			15	Skillname245	SynFire35													0
twister	3	4	2	3	0	42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																1					12	StrSkill48		par2		9																																								40	Sksyn	Skillname241	2		15	Skillname246	SynPhys50			15	Skillname251	SynPhys50																							0
vines	1	5	3	1	0	14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					3	StrSkill88	StrSkill23	clc3		13			clc1																																																																								0
hunger	2	5	2	2	0	58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3	14												1				1					3	EskillManaSteal	StrSkill23	clc3		3	EskillLifeSteal	StrSkill23	clc2		3	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																														0
shock wave	2	5	3	2	0	28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					12	StrSkill48		ln12		10					9																																																																						0
volcano	3	5	1	3	0	44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																1					11					10					9					8																														40	Sksyn	Skillname245	2		15	Skillname230	SynPhys50			15	Skillname235	SynFire50			15	Skillname250	SynFire50																		0
tornado	3	5	2	3	0	46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																1					11					10					9					8																														40	Sksyn	Skillname246	2		15	Skillname241	SynPhys50			15	Skillname251	SynPhys50																							0
spirit of barbs	1	6	1	1	0	4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		ln78		7	StrSkill55		ln34		13			clc1																																																																			0
summon grizzly	1	6	2	1	0	18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	1					2	StrSkill21	StrSkill23	pst1		2	StrSkill22	StrSkill23	pst2		9			pst3		13			clc1							5	ESkillNext		(lvl / 50 + 1) * 50)		5	ESkillBears		pets												40	Sksyn	Skillname248	2		25	Skillname228				25	Skillname238																								0
fury	2	6	1	2	0	30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34											2				1					2	StrSkill4	StrSkill23	clc2		2	StrSkill30	StrSkill23	toht		7	StrSkill11		clc1																																																																			0
armageddon	3	6	1	3	0	50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													armageddonfire			1					12	StrSkill20		len		19	StrSkill18		rng		22					10																														40	Sksyn	Skillname250	2		15	Skillname235	SynDur5			15	Skillname226	SynFire25			15	Skillname230	SynFire25			15	Skillname245	SynFire25													0
hurricane	3	6	2	3	0	48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																1					12	StrSkill20		len		19	StrSkill18		rng		10																																			40	Sksyn	Skillname251	2		15	Skillname236	SynDur5			15	Skillname241	SynPhys50			15	Skillname246	SynPhys50																		0
fire trauma	1	1	2	1	0	0	Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					19	StrSkill18		rng		10																																								40	Sksyn	Skillname252	2		15	Skillname257	SynFire25			15	Skillname262	SynFire25			15	Skillname263	SynFire25			15	Skillname272	SynFire25			15	Skillname273	SynFire25			15	Skillname277	SynFire25			0
claw mastery	2	1	2	2	0	20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm		2	StrSkill22	StrSkill23	math																																																																								0
psychic hammer	2	1	3	2	0	22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9					8																																																																	0
tiger strike	3	1	2	3	0	40	Skillname255	Skillsd255	Skillld255	Skillan255	StrSkill3	5												1				1					2	Eskillpowerup3	Eskillpuddgmper	3*clc1		2	Eskillpowerup2	Eskillpuddgmper	2*clc1		2	Eskillpowerup1	Eskillpuddgmper	clc1		2	StrSkill22	StrSkill23	toht																																																														0
dragon talon	3	1	3	3	0	42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15												5				1					36	EskillKickSing	EskillKickPlur	clc1		2	Eskillkickdamage	StrSkill23	ln12		2	StrSkill22	StrSkill23	toht																																																																			0
shock field	1	2	1	1	0	2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	5													shock field on ground			1					23	StrSkill20				5	ESkillSpikes		clc1		38	StrSkill7	StrSkill34	edmn	edmx																															40	Sksyn	Skillname257	2		15	Skillname262	SynLtng40			15	Skillname272	SynLtng40			15	Skillname277	SynLtng40			71	Skillname252	Missplev3	par2												0
blade sentinel	1	2	3	1	0	4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																1					12	StrSkill20		clc4		72	WeapDamsk		3	8	14					9																																																																	0
quickness	2	2	1	2	0	36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		len		2	StrSkill89	StrSkill23	ast1		2	StrSkill106	StrSkill23	ast2																																																																			0
fists of fire	3	2	1	3	0	44	Skillname260	Skillsd260	Skillld260	Skillan260	StrSkill3	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			1					17	Eskillfistsoffire1	Eskillpowerup3	m1eo*50/256	m1ey*50/256	19	Eskillfistsoffire2	Eskillpowerup2	par1		24	Eskillfistsoffire1	Eskillpowerup1			2	StrSkill22	StrSkill23	toht																											40	Sksyn	Skillname260	2		15	Skillname281	SynFire100																												0
dragon claw	3	2	3	3	0	46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																																								0
charged bolt sentry	1	3	1	1	0	6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3																	1					3	StrSkill72	StrSkill73	clc1		3	ESkillShoots	ESkillTimes	clc4		10																																			40	Sksyn	Skillname262	2		15	Skillname252	SynLtng40			15	Skillname272	SynLtng40			15	Skillname277	SynLtng40																		0
wake of fire sentry	1	3	2	1	0	8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3																	1					3	ESkillShoots	ESkillTimes	clc4		10																																								40	Sksyn	Skillname263	2		15	Skillname252	SynFire50			15	Skillname273	SynFire50																							0
weapon block	2	3	2	2	0	26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		pst1																																																																																		0
cloak of shadows	2	3	3	2	0	24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	1					12	StrSkill20		len		19	StrSkill56		rng		2	StrSkill25	StrSkill23	ast1		2	StrSkill31	StrSkill23	pst1																																																														0
cobra strike	3	3	2	3	0	50	Skillname266	Skillsd266	Skillld266	Skillan266	StrSkill3	5												1				1					2	Eskillpowerup3	Eskillpudmana	2*ln12		2	Eskillpowerup2	Eskillpudmana	ln12		2	Eskillpowerup1	Eskillpudlife	ln12		2	StrSkill22	StrSkill23	toht																																																														0
blade fury	1	4	3	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	24																61	StrSkill3	EskillPerBlade	usmc	10	72	WeapDamsk		3	4	14					9																																																																						0
fade	2	4	1	2	0	30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		len		3	StrSkill54	StrSkill23	ast1		3	ModStr2u	StrSkill23	ast6																																																																			0
shadow warrior	2	4	2	2	0	38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill54	StrSkill23	pst1		2	StrSkill31	StrSkill23	ast2		4	StrSkill22		ast1		13			(lvl-1)*par1																																																														0
claws of thunder	3	4	1	3	0	58	Skillname270	Skillsd270	Skillld270	Skillan270	StrSkill3	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	1					62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1			2	StrSkill22	StrSkill23	toht																											40	Sksyn	Skillname270	2		15	Skillname281	SynLtng100																												0
dragon tail	3	4	3	3	0	48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					19	StrSkill18		rng		2	Eskillfistsoffire1	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																																			0
lightning sentry	1	5	1	1	0	12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					3	ESkillShoots	ESkillTimes	clc4		10																																								40	Sksyn	Skillname272	2		15	Skillname257	SynLtng40			15	Skillname262	SynLtng40			15	Skillname277	SynLtng40																		0
inferno sentry	1	5	2	1	0	14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					3	ESkillShoots	ESkillTimes	clc4		59	StrSkill5		edns*25/768	edxs*25/768																																				40	Sksyn	Skillname273	2		15	Skillname252	SynFire50			15	Skillname263	SynFire50																							0
mind blast	2	5	3	2	0	34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																1					16	StrSkill20		par3	par3+par4	3	StrSkill99	StrSkill23	dm56		12	StrSkill48		"min(250,edln)"		9																																																																	0
