Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	*monlvl1	*monlvl2	*monlvl3	*monlvl4	*monlvl5	*monlvl6	*monlvl7	*monlvl8	*monlvl9	*monlvl10	*monlvl11	*monlvl12	*monlvl13	*monlvl14	*monlvl15	*monlvl16	*monlvl17	*monlvl18	*monlvl19	*monlvl20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Courtyard 2	32	0	0			0	80	80	80	80	80	80	4000	1000	0	1	0	0	0	1	1	1	0	1	2	6	-1	-1	-1	-1	31	33	0	0	0	0	0	0	14	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	40	99	99	40	140	140	1280	1280	1280	0	1	1	2	2	2	1	0	10	fallen4	cr_archer4	skmage_ltng2	golem1	golem2	rogue2	darkguard3	skeleton5	knight1	fallenboss4																																fallen4	cr_archer4	skmage_ltng2	golem1	golem2	rogue2	darkguard3	skeleton5	knight1	fallenboss4											fallen4	cr_archer4	skmage_ltng2																				0	7	7	Inner Cloister	To The Inner Cloister	A1L33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Cathedral	33	0	0			0	70	34	70	34	70	34	-4	-34	32	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	32	34	0	0	0	0	0	0	-1	15	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	40	99	99	42	142	142	1024	1024	1024	1	2	2	3	3	3	1	0	11	bighead2	wraith2	fallenshaman4	golem1	golem2	rogue2	darkguard3	skeleton5	knight1	fallenboss4	venomklaw																															bighead2	wraith2	fallenshaman4	golem1	golem2	rogue2	darkguard3	skeleton5	knight1	fallenboss4	venomklaw										bighead2	wraith2	fallenshaman4																				0	9	255	Cathedral	To The Cathedral	A1L34	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	1
Act 1 - Catacombs 1	34	0	0			21	1000	1000	1000	1000	1000	1000	4500	1000	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	33	35	0	0	0	0	0	0	16	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	44	144	144	1024	1024	1024	1	2	4	5	6	8	1	0	10	bighead2	fallenshaman4	fetish1	skeleton3	golem2	darkguard3	zombie3	skeleton3	knight1	venomklaw																																bighead2	fallenshaman4	fetish1	skeleton3	golem2	darkguard3	zombie3	skeleton3	knight1	venomklaw											bighead2	fallenshaman4	fetish1																				60	10	255	Catacombs Level 1	To The Catacombs Level 1	A1L35	16	3	14	17	0	0	0	0	40	45	15	3	0	0	0	0	1
Act 1 - Catacombs 2	35	0	0			22	1000	1000	1000	1000	1000	1000	4500	1300	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	34	36	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	46	146	146	1024	1024	1024	1	2	4	5	6	8	1	0	10	bighead2	fallenshaman4	skeleton3	golem2	darkguard3	zombie3	skeleton4	knight1	magog	venomklaw																																bighead2	fallenshaman4	skeleton3	golem2	darkguard3	zombie3	skeleton4	knight1	magog	venomklaw											bighead2	fallenshaman4	arach3																				60	10	8	Catacombs Level 2	To The Catacombs Level 2	A1L36	16	3	14	17	0	0	0	0	45	45	17	3	0	0	0	0	1
Act 1 - Catacombs 3	36	0	0			23	1000	1000	1000	1000	1000	1000	4500	1600	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	35	37	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	40	99	99	48	148	148	1024	1024	1024	1	2	4	5	6	8	1	0	10	zombie3	bighead3	vampire5	brute3	golem2	darkguard3	skeleton5	knight1	magog	venomklaw																																zombie3	bighead3	vampire5	brute3	golem2	darkguard3	skeleton5	knight1	magog	venomklaw											zombie3	bighead3	vampire5																				60	10	255	Catacombs Level 3	To The Catacombs Level 3	A1L37	16	3	14	17	0	0	0	0	50	45	19	3	0	0	0	0	1
Act 1 - Catacombs 4	37	0	0			24	69	69	69	69	69	69	4500	1900	0	1	0	0	0	1	1	1	0	1	2	10	-1	-1	-1	-1	36	0	0	0	0	0	0	0	17	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	50	150	150	1536	1536	1536	1	2	4	5	6	8	1	0	10	zombie3	bighead3	brute3	golem2	darkguard3	brute3	knight1	magog	magog	venomklaw																																zombie3	bighead3	brute3	golem2	darkguard3	brute3	knight1	magog	magog	venomklaw											zombie3	bighead3	magog																				60	10	255	Catacombs Level 4	To The Catacombs Level 4	A1L38	16	3	14	17	0	0	0	0	55	45	1	3	0	0	0	0	1
Act 1 - Tristram	38	0	0			25	43	48	43	48	43	48	5000	1000	0	1	1	0	0	1	1	1	1	1	2	11	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	0	1	1	0	2025	40	99	99	20	120	120	1024	1024	1024	1	2	3	4	5	6	0	0	9	skeleton4	goatman2	fallenshaman2	sk_archer1	golem1	zombie1	fallenboss1	rogue0	mushroom																																	skeleton4	goatman2	fallenshaman2	sk_archer1	golem1	zombie1	fallenboss1	rogue0	mushroom												skeleton2	goatman2	fallenshaman2	sk_archer1																			0	3	255	Tristram	To Tristram	A1L39	44	45	0	0	0	0	0	0	33	1	0	0	0	0	0	0	1
Act 1 - Moo Moo Farm	39	0	0	26	40	26	80	80	80	80	80	80	5000	1148	0	1	1	0	0	0	1	1	0	1	3	2	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	40	99	99	150	250	250	1024	1024	1024	1	3	3	4	6	8	1	0	10	hellbovine	hellbovine	hellbovine	darkguard1	hellbovine	darkguard1	suckernest1	suckernest1	evilhole3	evilhole4																																hellbovine	hellbovine	hellbovine	darkguard1	hellbovine	darkguard1	suckernest1	suckernest1	evilhole3	evilhole4											hellbovine	suckernest1	immortal	darkguard1	evilhole3	evilhole4																	0	34	255	Moo Moo Farm	To The Moo Moo Farm	A1L40	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	0
Act 2 - Town	40	1	1			27	56	56	56	56	56	56	1000	1000	0	1	0	0	0	0	1	1	1	1	2	12	-1	-1	-1	-1	0	0	47	47	50	0	0	0	-1	-1	19	20	24	-1	-1	-1	128	255	255	223	1	1	0	0	2025	0	0	0	0	0	0	0	0	0							0	0																																																																																					0	12	9	Lut Gholein	To Lut Gholein	A2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 2 - Desert 1	41	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	1	3	16	9	0	7	8	55	55	55	55	0	0	0	0	33	34	35	36	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	60	99	99	45	145	145	1024	1024	1024	1	4	4	6	7	9	1	0	9	sandleaper1	pantherwoman1	scarab1	vulture1	slinger1	golem2	rogue2	swarm1	arach2																																	sandleaper1	pantherwoman1	scarab1	vulture1	slinger1	golem2	rogue2	swarm1	arach2												sandleaper1	pantherwoman1	scarab1	vulture1	slinger1																		0	13	255	Rocky Waste	To The Rocky Waste	A2L2	30	24	32	37	36	0	0	0	15	30	15	40	40	0	0	0	0
Act 2 - Desert 2	42	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	1	3	16	9	1	7	8	56	56	56	56	0	0	0	0	33	34	35	36	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	60	99	99	47	147	147	1024	1024	1024	1	4	4	6	7	9	1	0	9	sandleaper2	pantherwoman2	vulture2	slinger5	golem2	rogue2	swarm1	scourge	arach2																																	sandleaper2	pantherwoman2	vulture2	slinger5	golem2	rogue2	swarm1	scourge	arach2												sandleaper2	pantherwoman2	vulture2	slinger5																			0	13	11	Dry Hills	To The Dry Hills	A2L3	30	24	32	37	36	0	0	0	15	30	14	40	40	0	0	0	0
Act 2 - Desert 3	43	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	1	3	16	9	2	7	8	0	0	0	0	62	0	0	0	-1	-1	-1	-1	47	-1	-1	-1	128	255	255	223	1	0	1	0	2025	60	99	99	49	149	149	1024	1024	1024	1	4	4	6	7	9	1	0	11	darkguard3	sandmaggot1	swarm1	scarab2	vulture2	golem2	rogue2	swarm2	suckernest2	scourge	arach2																															darkguard3	sandmaggot1	swarm1	scarab2	vulture2	golem2	rogue2	swarm2	suckernest2	scourge	arach2										sandmaggot1	swarm1	scarab2	vulture2																			0	13	13	Far Oasis	To The Far Oasis	A2L4	30	24	32	37	36	0	0	0	15	30	13	40	40	0	0	0	0
Act 2 - Desert 4	44	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	1	3	16	9	3	7	8	0	0	65	0	0	0	0	0	-1	-1	50	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	3800	60	99	99	51	151	151	1024	1024	1024	1	4	4	6	7	9	1	0	12	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	golem2	darkguard3	swarm3	suckernest2	foulcrow1	foulcrow1	scourge																														zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	golem2	darkguard3	swarm3	suckernest2	foulcrow1	foulcrow1	scourge									zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6																		0	13	14	Lost City	To The Lost City	A2L5	30	24	32	37	36	0	0	0	15	30	12	40	40	0	0	0	0
Act 2 - Desert 5	45	1	1			27	64	64	64	64	64	64	-1	-1	0	1	0	0	0	0	1	1	1	1	3	16	9	3	-1	8	0	58	0	0	0	0	0	0	-1	37	-1	-1	-1	-1	-1	-1	128	255	255	223	1	0	1	0	3800	60	99	99	53	153	153	1024	1024	1024	1	4	4	6	7	9	1	0	13	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2	golem2	darkguard2	darkguard3	swarm4	knight2	suckernest2	foulcrow1																													clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2	golem2	darkguard2	darkguard3	swarm4	knight2	suckernest2	foulcrow1								clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																	0	13	255	Valley of Snakes	To The Valley of Snakes	A2L6	30	24	32	37	36	0	0	0	15	30	11	40	40	0	0	0	0
Act 2 - Valley of the Kings	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000	0	1	0	0	1	0	1	1	1	1	3	16	9	4	7	8	0	66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44	128	255	255	223	1	1	1	0	3800	60	99	99	62	162	162	1024	1024	1024	2	4	3	4	7	9	1	0	14	monolith1	sandmaggot3	pantherwoman4	scarab4	slinger4	golem2	darkguard2	darkguard3	swarm4	knight2	suckernest2	snake	snake	foulcrow1																												monolith1	sandmaggot3	pantherwoman4	scarab4	slinger4	golem2	darkguard2	darkguard3	swarm4	knight2	suckernest2	snake	snake	foulcrow1							monolith1	sandmaggot3	pantherwoman4	scarab4	slinger4	knight2	snake	foulcrow1															0	14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	30	24	32	37	36	0	0	0	15	30	10	40	40	0	0	0	0
Act 2 - Sewer 1 A	47	1	1			29	2000	2000	2000	2000	2000	2000	1500	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	40	40	48	0	0	0	0	0	22	21	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	100	60	99	99	46	146	146	1024	1024	1024	0	3	3	4	6	8	1	0	10	skeleton4	sandraider1	mummy1	sk_archer4	skeleton4	golem2	darkguard3	swarm2	brute3	arach2																																skeleton4	sandraider1	mummy1	sk_archer4	skeleton4	golem2	darkguard3	swarm2	brute3	arach2											skeleton4	sandraider1	mummy1	sk_archer4	swarm2																		0	15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5	0	0	0	0	0	10	10	10	0	0	0	0	0	0
Act 2 - Sewer 1 B	48	1	1			30	2000	2000	2000	2000	2000	2000	1500	1300	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	47	0	49	0	0	0	0	0	22	-1	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	60	99	99	48	148	148	1024	1024	1024	0	3	3	4	6	8	1	0	9	skeleton4	sandraider1	mummy1	sk_archer4	skeleton4	golem2	darkguard3	swarm2	brute3																																	skeleton4	sandraider1	mummy1	sk_archer4	skeleton4	golem2	darkguard3	swarm2	brute3												skeleton4	sandraider1	mummy1	sk_archer4	swarm2																		0	15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5	0	0	0	0	0	12	12	12	0	0	0	0	0	0
Act 2 - Sewer 1 C	49	1	1			31	2000	2000	2000	2000	2000	2000	1500	1600	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	48	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	60	99	99	50	150	150	1024	1024	1024	0	3	3	4	6	8	1	0	10	skeleton4	pantherwoman1	mummy1	skmage_fire3	skeleton4	golem2	darkguard3	swarm2	brute3	scourge																																skeleton4	pantherwoman1	mummy1	skmage_fire3	skeleton4	golem2	darkguard3	swarm2	brute3	scourge											skeleton4	pantherwoman1	mummy1	skmage_fire3	swarm2																		0	15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5	0	0	0	0	0	15	15	15	0	0	0	0	0	0
Act 2 - Harem	50	1	1	11	11	32	16	32	16	32	16	32	2000	1000	0	1	0	0	0	1	1	1	0	1	2	14	-1	-1	-1	-1	40	0	51	51	0	0	0	0	25	-1	28	29	-1	-1	-1	-1	128	255	255	255	0	0	0	0	2025	60	99	99	55	155	155	2048	2048	2048							1	0	9	darkguard3	sandraider3	golem2	darkguard3	sandraider3	golem2	swarm2	skeleton4	scourge																																	darkguard3	sandraider3	golem2	darkguard3	sandraider3	golem2	swarm2	skeleton4	scourge																																		8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Act 2 - Corrupt Harem 1	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119	0	1	0	0	0	1	1	1	0	1	1	14	-1	-1	-1	-1	50	50	52	52	0	0	0	0	26	27	28	29	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	55	155	155	2048	2048	2048							1	0	9	sandraider3	sk_archer5	blunderbore1	skmage_cold4	golem2	darkguard3	swarm2	skeleton4	scourge																																	sandraider3	sk_archer5	blunderbore1	skmage_cold4	golem2	darkguard3	swarm2	skeleton4	scourge												sandraider3	sk_archer5	blunderbore1	skmage_cold4																			8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55	0	0	0	0	0	0	15	33	0	0	0	0	0	0	0
Act 2 - Basement 1	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	51	51	53	53	0	0	0	0	26	27	32	32	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	56	156	156	1024	1024	1024	0	3	3	4	5	7	1	1	9	sandraider3	sk_archer5	blunderbore1	skmage_fire4	darkguard3	golem2	darkguard2	unraveler3	arach2																																	sandraider3	sk_archer5	blunderbore1	skmage_fire4	darkguard3	golem2	darkguard2	unraveler3	arach2												sandraider3	sk_archer5	blunderbore1	skmage_fire4																			60	18	15	Palace Cellar Level 1 	To The Palace Cellar Level 1 	A2L13	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 2	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	52	52	54	54	0	0	0	0	30	31	32	32	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	60	99	99	57	157	157	1024	1024	1024	0	3	3	4	5	7	1	1	9	sandraider3	sk_archer5	blunderbore1	skmage_pois4	darkguard3	golem2	darkguard2	unraveler3	arach2																																	sandraider3	sk_archer5	blunderbore1	skmage_pois4	darkguard3	golem2	darkguard2	unraveler3	arach2												sandraider3	sk_archer5	blunderbore1	skmage_pois4																			60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Basement 3	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	53	53	0	0	0	0	0	0	30	31	-1	-1	-1	-1	-1	-1	0	255	255	255	1	1	1	0	2025	60	99	99	58	158	158	1024	1024	1024	0	3	3	4	5	7	1	1	9	sandraider3	sk_archer5	blunderbore1	skmage_ltng4	darkguard3	golem2	darkguard2	unraveler3	arach2																																	sandraider3	sk_archer5	blunderbore1	skmage_ltng4	darkguard3	golem2	darkguard2	unraveler3	arach2												sandraider3	sk_archer5	blunderbore1	skmage_ltng4																			60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0
Act 2 - Tomb 1 A	55	1	1			37	2000	2000	2000	2000	2000	2000	3000	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	41	0	0	0	59	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	47	147	147	1024	1024	1024	0	2	3	4	6	8	1	0	9	skeleton5	scarab1	skmage_ltng3	golem2	darkguard3	iceglobe	swarm3	brute3	arach2																																	skeleton5	scarab1	skmage_ltng3	golem2	darkguard3	iceglobe	swarm3	brute3	arach2												skeleton5	scarab1	skmage_ltng3																				60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 A	56	1	1			38	2000	2000	2000	2000	2000	2000	3000	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	42	0	0	0	57	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	49	149	149	1024	1024	1024	0	2	3	4	6	8	1	0	10	mummy2	unraveler1	unraveler2	batdemon1	slinger2	darkguard3	golem2	swarm3	brute3	arach2																																mummy2	unraveler1	unraveler2	batdemon1	slinger2	darkguard3	golem2	swarm3	brute3	arach2											mummy2	unraveler1	unraveler1	batdemon1	slinger2																		60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 2 B	57	1	1			39	2000	2000	2000	2000	2000	2000	3000	1600	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	56	0	0	0	60	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	50	150	150	1024	1024	1024	0	2	3	4	6	8	1	0	9	mummy2	unraveler1	unraveler2	batdemon1	slinger2	darkguard3	golem2	swarm3	arach2																																	mummy2	unraveler1	unraveler2	batdemon1	slinger2	darkguard3	golem2	swarm3	arach2												mummy2	unraveler1	unraveler1	batdemon1	slinger2																		60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 3 A	58	1	1			40	2000	2000	2000	2000	2000	2000	3000	1900	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	45	0	0	0	61	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	54	154	154	1024	1024	1024	0	2	3	4	6	8	1	0	11	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler3	darkguard3	golem2	swarm3	brute3	arach2																															clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler3	darkguard3	golem2	swarm3	brute3	arach2										clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																	60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0	0
Act 2 - Tomb 1 Treasure	59	1	1			41	2000	2000	2000	2000	2000	2000	3000	2200	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	55	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	49	149	149	1536	1536	1536	0	2	2	3	2	3	1	0	9	skeleton5	scarab1	skmage_pois3	golem2	darkguard2	darkguard3	iceglobe	swarm4	scourge																																	skeleton5	scarab1	skmage_pois3	golem2	darkguard2	darkguard3	iceglobe	swarm4	scourge												skeleton5	scarab1	skmage_pois3																				60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Tomb 2 Treasure	60	1	1			42	2000	2000	2000	2000	2000	2000	3000	2500	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	57	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	51	151	151	1536	1536	1536	0	2	2	3	2	3	1	0	9	mummy2	unraveler1	unraveler1	batdemon1	slinger2	golem2	darkguard2	swarm4	scourge																																	mummy2	unraveler1	unraveler1	batdemon1	slinger2	golem2	darkguard2	swarm4	scourge												mummy2	unraveler1	unraveler1	batdemon1	slinger2																		60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Tomb 3 Treasure	61	1	1			43	200	200	200	200	200	200	3000	2800	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	58	0	0	0	0	0	0	0	45	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	1000	60	99	99	55	155	155	1536	1536	1536	0	2	2	3	2	3	1	0	12	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2	golem2	darkguard2	sandraider4	swarm4	knight2	scourge																														clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2	golem2	darkguard2	sandraider4	swarm4	knight2	scourge									clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																	60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24	0	0	0	0	0	10	30	45	55	0	0	0	0	0
Act 2 - Lair 1 A	62	1	1			44	1800	1800	1800	1800	1800	1800	3500	1000	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	43	63	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	51	151	151	1024	1024	1024	0	3	3	4	5	6	1	0	10	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	darkguard3	swarm3	knight2	arach2																																sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	darkguard3	swarm3	knight2	arach2											sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																		8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29	0	0	0	0	0	0	50	35	0	0	0	0	0	0	0
Act 2 - Lair 1 B	63	1	1			45	1800	1800	1800	1800	1800	1800	3500	1300	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	62	64	0	0	0	0	0	0	48	49	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	52	152	152	1024	1024	1024	0	3	3	4	5	6	1	0	10	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	darkguard3	swarm3	knight2	arach2																																sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	darkguard3	swarm3	knight2	arach2											sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																		8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29	0	0	0	0	0	0	65	35	0	0	0	0	0	0	0
Act 2 - Lair 1 Treasure	64	1	1			46	1800	1800	1800	1800	1800	1800	3500	1600	0	1	0	0	0	1	1	1	0	1	1	18	-1	-1	-1	-1	63	0	0	0	0	0	0	0	48	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	53	153	153	1024	1024	1024	0	3	2	3	4	5	1	0	9	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	swarm4	knight3	arach2																																	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3	golem2	swarm4	knight3	arach2												sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																		8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29	0	0	0	0	0	0	80	55	0	0	0	0	0	0	0
Act 2 - Sewer 2 A	65	1	1			47	3000	3000	3000	3000	3000	3000	4000	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	44	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	60	99	99	52	152	152	1024	1024	1024	0	3	3	4	6	8	1	0	11	zombie5	sandraider3	mummy3	skmage_ltng4	golem2	darkguard3	swarm3	goatman3	wraith3	corruptrogue3	suckernest2																															zombie5	sandraider3	mummy3	skmage_ltng4	golem2	darkguard3	swarm3	goatman3	wraith3	corruptrogue3	suckernest2										zombie5	sandraider3	mummy3	skmage_ltng4																			8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	29	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
